PeakID (cmd=annotatePeaks.pl siBAZ2B_raw_MACS2_Unique_Ctrl.narrowPeak hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_8615,chrX,19002327,19003221,+,122,NA,promoter-TSS (NM_000292),promoter-TSS (NM_000292),-542,NM_000292,5256,,NM_000292,ENSG00000044446,PHKA2,GSD9A|PHK|PYK|PYKL|XLG|XLG2,phosphorylase kinase regulatory subunit alpha 2,protein-coding
siBAZ2B_3_peak_8668,chrX,48814920,48815723,+,122,NA,promoter-TSS (NM_017602),promoter-TSS (NM_017602),322,NM_001136159,55593,,NM_017602,ENSG00000068308,OTUD5,DUBA|MCAND,OTU deubiquitinase 5,protein-coding
siBAZ2B_3_peak_2239,chr13,98628134,98628820,+,122,NA,"intron (NM_002271, intron 3 of 28)",CpG,22548,NM_002271,3843,,NM_002271,ENSG00000065150,IPO5,IMB3|KPNB3|Pse1|RANBP5|imp5,importin 5,protein-coding
siBAZ2B_3_peak_674,chr1,211848768,211849332,+,122,NA,promoter-TSS (NR_148994),promoter-TSS (NR_148994),-54,NR_148994,91548,,NR_148994,ENSG00000231057,NEK2-DT,-,NEK2 divergent transcript,ncRNA
siBAZ2B_3_peak_5979,chr3,101158442,101158866,+,121,NA,"intron (NM_020654, intron 4 of 23)",SVA_F|Other|Other,73402,NM_020654,57337,,NM_020654,ENSG00000138468,SENP7,-,SUMO specific peptidase 7,protein-coding
siBAZ2B_3_peak_8684,chrX,52987674,52988286,+,120,NA,promoter-TSS (NM_001377063),promoter-TSS (NM_001377063),90,NM_001321183,727866,,NM_001099684,ENSG00000179304,FAM156B,TMEM29B,family with sequence similarity 156 member B,protein-coding
siBAZ2B_3_peak_5254,chr2,233844762,233845236,+,120,NA,"intron (NM_019850, intron 1 of 14)","intron (NM_019850, intron 1 of 14)",-32325,NR_136325,101928881,,NR_136325,ENSG00000222001,LOC101928881,-,uncharacterized LOC101928881,ncRNA
siBAZ2B_3_peak_1575,chr11,77705722,77706324,+,120,NA,promoter-TSS (NM_033547),promoter-TSS (NM_033547),-309,NM_033547,92105,,NM_033547,ENSG00000149262,INTS4,INT4|MST093,integrator complex subunit 4,protein-coding
siBAZ2B_3_peak_1978,chr12,82752256,82752651,+,120,NA,promoter-TSS (NM_014167),promoter-TSS (NM_014167),131,NR_033192,29080,,NM_014167,ENSG00000133773,CCDC59,BR22|HSPC128|TAP26,coiled-coil domain containing 59,protein-coding
siBAZ2B_3_peak_6667,chr5,131132457,131133157,+,120,NA,promoter-TSS (NM_133372),promoter-TSS (NM_133372),-97,NM_001346114,96459,,NM_133372,ENSG00000217128,FNIP1,IMD93,folliculin interacting protein 1,protein-coding
siBAZ2B_3_peak_6487,chr5,34244585,34245338,+,120,NA,promoter-TSS (NR_146599),promoter-TSS (NR_146599),-132,NR_146599,114899,,NM_030945,ENSG00000082196,C1QTNF3,C1ATNF3|CORCS|CORS|CORS-26|CORS26|CTRP3,C1q and TNF related 3,protein-coding
siBAZ2B_3_peak_109,chr1,19228995,19229468,+,120,NA,promoter-TSS (NM_003748),promoter-TSS (NM_003748),62,NM_001319218,8659,,NM_003748,ENSG00000159423,ALDH4A1,ALDH4|P5CD|P5CDh,aldehyde dehydrogenase 4 family member A1,protein-coding
siBAZ2B_3_peak_7671,chr7,143077916,143078487,+,120,NA,promoter-TSS (NM_001362783),promoter-TSS (NM_001362783),-83,NR_161353,100507507,,NR_161353,,FAM131B-AS2,-,FAM131B antisense RNA 2,ncRNA
siBAZ2B_3_peak_5776,chr3,9404661,9405093,+,119,NA,"5' UTR (NM_015453, exon 1 of 10)","5' UTR (NM_015453, exon 1 of 10)",139,NM_001114092,25917,,NM_015453,ENSG00000134077,THUMPD3,-,THUMP domain containing 3,protein-coding
siBAZ2B_3_peak_7004,chr6,52860074,52860734,+,118,NA,promoter-TSS (NR_001445),promoter-TSS (NR_001445),-14,NR_001445,125050,,NR_001445,ENSG00000202198,RN7SK,7SK,RNA component of 7SK nuclear ribonucleoprotein,snRNA
siBAZ2B_3_peak_2564,chr15,28834102,28834817,+,118,NA,promoter-TSS (NR_145479),promoter-TSS (NR_145479),-73,NR_145479,100996738,,NR_145479,,HERC2P11,-,HERC2 pseudogene 11,pseudo
siBAZ2B_3_peak_1215,chr11,4629148,4629687,+,118,NA,promoter-TSS (NM_018073),promoter-TSS (NM_018073),44,NM_001304496,55128,,NM_018073,ENSG00000167333,TRIM68,GC109|RNF137|SS-56|SS56,tripartite motif containing 68,protein-coding
siBAZ2B_3_peak_506,chr1,159750423,159750999,+,117,NA,promoter-TSS (NM_001319658),promoter-TSS (NM_001319658),-41,NM_017823,54935,,NM_017823,ENSG00000158716,DUSP23,DUSP25|LDP-3|LDP3|MOSP|VHZ,dual specificity phosphatase 23,protein-coding
siBAZ2B_3_peak_3191,chr16,72042396,72042939,+,116,NA,promoter-TSS (NM_001361),promoter-TSS (NM_001361),24,NM_001361,1723,,NM_001361,ENSG00000102967,DHODH,DHOdehase|POADS|URA1,dihydroorotate dehydrogenase (quinone),protein-coding
siBAZ2B_3_peak_7813,chr8,26306892,26307317,+,116,NA,Intergenic,G-rich|Low_complexity|Low_complexity,59175,NM_001330491,665,,NM_004331,ENSG00000104765,BNIP3L,BNIP3a|NIP3L|NIX,BCL2 interacting protein 3 like,protein-coding
siBAZ2B_3_peak_6070,chr3,141456884,141457429,+,116,NA,promoter-TSS (NM_014245),promoter-TSS (NM_014245),16,NM_014245,9616,,NM_014245,ENSG00000114125,RNF7,CKBBP1|ROC2|SAG|rbx2,ring finger protein 7,protein-coding
siBAZ2B_3_peak_910,chr10,49197120,49197643,+,115,NA,Intergenic,Intergenic,10444,NM_001137548,644054,,NM_001137548,ENSG00000276430,FAM25C,bA164N7.4,family with sequence similarity 25 member C,protein-coding
siBAZ2B_3_peak_3076,chr16,30661925,30662447,+,115,NA,promoter-TSS (NM_024031),promoter-TSS (NM_024031),87,NM_001320464,78994,,NM_024031,ENSG00000156858,PRR14,-,proline rich 14,protein-coding
siBAZ2B_3_peak_8023,chr8,126010217,126011061,+,115,NA,promoter-TSS (NR_134457),promoter-TSS (NR_134457),-108,NM_003129,6713,,NM_003129,ENSG00000104549,SQLE,-,squalene epoxidase,protein-coding
siBAZ2B_3_peak_8379,chr9,124049390,124049807,+,115,NA,"intron (NM_001258030, intron 1 of 16)",MIR3|SINE|MIR,771,NM_001258030,2934,,NM_000177,ENSG00000148180,GSN,ADF|AGEL,gelsolin,protein-coding
siBAZ2B_3_peak_3764,chr17,73257437,73258113,+,115,NA,promoter-TSS (NM_015971),promoter-TSS (NM_015971),-88,NM_138619,23163,,NM_014001,ENSG00000125447,GGA3,-,"golgi associated, gamma adaptin ear containing, ARF binding protein 3",protein-coding
siBAZ2B_3_peak_4507,chr19,50144994,50145520,+,114,NA,promoter-TSS (NM_021228),promoter-TSS (NM_021228),-209,NM_021228,58506,,NM_021228,ENSG00000126461,SCAF1,SRA1,SR-related CTD associated factor 1,protein-coding
siBAZ2B_3_peak_6120,chr3,169939849,169940210,+,114,NA,promoter-TSS (NM_002740),promoter-TSS (NM_002740),-183,NM_002740,5584,,NM_002740,ENSG00000163558,PRKCI,DXS1179E|PKCI|nPKC-iota,protein kinase C iota,protein-coding
siBAZ2B_3_peak_57,chr1,7843958,7844469,+,114,NA,promoter-TSS (NM_001377275),promoter-TSS (NM_001377275),-138,NM_001377275,8863,,NM_016831,ENSG00000049246,PER3,FASPS3|GIG13,period circadian regulator 3,protein-coding
siBAZ2B_3_peak_7404,chr7,44122021,44122515,+,114,NA,promoter-TSS (NR_156113),promoter-TSS (NR_156113),-129,NM_001284331,27434,,NM_013284,ENSG00000122678,POLM,Pol Mu|Tdt-N,DNA polymerase mu,protein-coding
siBAZ2B_3_peak_6510,chr5,43313146,43313946,+,114,NA,promoter-TSS (NM_001324220),promoter-TSS (NM_001324220),-32,NM_001324224,3157,,NM_002130,ENSG00000112972,HMGCS1,HMGCS,3-hydroxy-3-methylglutaryl-CoA synthase 1,protein-coding
siBAZ2B_3_peak_3975,chr18,74826593,74827073,+,114,NA,"intron (NM_001025101, intron 1 of 8)","intron (NM_001025101, intron 1 of 8)",17906,NM_001025100,4155,,NM_002385,ENSG00000197971,MBP,-,myelin basic protein,protein-coding
siBAZ2B_3_peak_1830,chr12,50478923,50479327,+,113,NA,promoter-TSS (NM_139071),promoter-TSS (NM_139071),0,NM_139071,6602,,NM_003076,ENSG00000066117,SMARCD1,BAF60A|CRACD1|CSS11|Rsc6p,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",protein-coding
siBAZ2B_3_peak_4371,chr19,42787978,42788487,+,113,NA,promoter-TSS (NM_001379484),promoter-TSS (NM_001379484),-389,NM_001379484,23152,,NM_015125,ENSG00000079432,CIC,MRD45,capicua transcriptional repressor,protein-coding
siBAZ2B_3_peak_8662,chrX,48595485,48596093,+,112,NA,Intergenic,CpG,-24362,NM_001080489,392465,,NM_001080489,ENSG00000171433,GLOD5,-,glyoxalase domain containing 5,protein-coding
siBAZ2B_3_peak_4583,chr19,57049712,57050109,+,111,NA,promoter-TSS (NM_001308440),promoter-TSS (NM_001308440),-407,NM_001308440,140612,,NM_020828,ENSG00000196867,ZFP28,mkr5,ZFP28 zinc finger protein,protein-coding
siBAZ2B_3_peak_7968,chr8,97273764,97274150,+,111,NA,promoter-TSS (NM_001290225),promoter-TSS (NM_001290225),-116,NM_001286643,51001,,NM_015942,ENSG00000156469,MTERF3,CGI-12|MTERFD1,mitochondrial transcription termination factor 3,protein-coding
siBAZ2B_3_peak_1130,chr10,124913621,124914392,+,111,NA,promoter-TSS (NM_004725),promoter-TSS (NM_004725),88,NM_004725,9184,,NM_004725,ENSG00000154473,BUB3,BUB3L|hBUB3,BUB3 mitotic checkpoint protein,protein-coding
siBAZ2B_3_peak_5188,chr2,217276895,217277618,+,111,NA,promoter-TSS (NM_001127207),promoter-TSS (NM_001127207),49,NM_014140,50485,,NM_014140,ENSG00000138375,SMARCAL1,HARP|HHARP,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1",protein-coding
siBAZ2B_3_peak_3889,chr18,63507,63993,+,110,NA,Intergenic,(CCCTAA)n|Simple_repeat|Simple_repeat,-14193,NM_001358689,260334,,NM_001358689,ENSG00000173213,TUBB8B,TUBB8P12,tubulin beta 8B,protein-coding
siBAZ2B_3_peak_6597,chr5,90576078,90576656,+,110,NA,Intergenic,CpG,33852,NR_103548,100505994,,NR_103548,ENSG00000248323,LUCAT1,SCAL1|SCAT5,lung cancer associated transcript 1,ncRNA
siBAZ2B_3_peak_8460,chr9,132404326,132404776,+,110,NA,promoter-TSS (NM_017873),promoter-TSS (NM_017873),-103,NM_001202403,140459,,NM_017873,ENSG00000148331,ASB6,-,ankyrin repeat and SOCS box containing 6,protein-coding
siBAZ2B_3_peak_2800,chr15,84976338,84977148,+,110,NA,promoter-TSS (NR_120379),promoter-TSS (NR_120379),-474,NR_120379,103171574,,NR_120379,ENSG00000259774,LOC103171574,-,uncharacterized LOC103171574,ncRNA
siBAZ2B_3_peak_4275,chr19,36630544,36631366,+,110,NA,promoter-TSS (NM_001302633),promoter-TSS (NM_001302633),-13,NM_001302632,826,,NM_001749,ENSG00000126247,CAPNS1,CALPAIN4|CANP|CANPS|CAPN4|CDPS|CSS1|PPH6,calpain small subunit 1,protein-coding
siBAZ2B_3_peak_3267,chr16,89313634,89314270,+,110,NA,Intergenic,CpG,29841,NM_001378881,197320,,NM_182531,ENSG00000170100,ZNF778,-,zinc finger protein 778,protein-coding
siBAZ2B_3_peak_8250,chr9,69065039,69065903,+,109,NA,promoter-TSS (NR_034006).2,promoter-TSS (NR_034006).2,-19,NR_156730,100132352,,NR_034006,,FRG1HP,-,"FSHD region gene 1 family member H, pseudogene",pseudo
siBAZ2B_3_peak_7880,chr8,56685422,56686094,+,108,NA,promoter-TSS (NM_024831),promoter-TSS (NM_024831),179,NM_001363177,137695,,NM_152417,ENSG00000167904,TMEM68,DIESL|MGAT/DGAT,transmembrane protein 68,protein-coding
siBAZ2B_3_peak_4540,chr19,52207182,52207515,+,108,NA,"exon (NM_001316994, exon 7 of 9)","exon (NM_001316994, exon 7 of 9)",-10639,NR_108100,102238594,,NR_108100,ENSG00000269959,SPACA6-AS1,LINC01129|SPACA6P-AS,SPACA6 antisense RNA 1,ncRNA
siBAZ2B_3_peak_8393,chr9,127533600,127534015,+,108,NA,promoter-TSS (NM_001489),promoter-TSS (NM_001489),-217,NM_001278546,2649,,NM_001489,ENSG00000148200,NR6A1,CT150|GCNF|GCNF1|NR61|RTR|hGCNF|hRTR,nuclear receptor subfamily 6 group A member 1,protein-coding
siBAZ2B_3_peak_3790,chr17,74260978,74261354,+,108,NA,promoter-TSS (NM_182565),promoter-TSS (NM_182565),-263,NM_182565,283991,,NM_182565,ENSG00000185262,UBALD2,FAM100B,UBA like domain containing 2,protein-coding
