PeakID (cmd=annotatePeaks.pl siBAZ2B_siControl_raw_MACS2_overlap.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_175,chr1,31904508,31905137,+,843,NA,"intron (NM_018565, intron 8 of 9)",G-rich|Low_complexity|Low_complexity,18162,NM_001199039,347735,,NM_018565,ENSG00000168528,SERINC2,FKSG84|PRO0899|TDE2|TDE2L,serine incorporator 2,protein-coding
siBAZ2B_3_peak_5759,chr22,50338388,50339208,+,832,NA,Intergenic,Intergenic,-15622,NM_001001852,415116,,NM_001001852,ENSG00000198355,PIM3,pim-3,"Pim-3 proto-oncogene, serine/threonine kinase",protein-coding
siBAZ2B_3_peak_1683,chr12,95234,95871,+,828,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,21827,NR_130745,100288778,,NR_130745,ENSG00000226210,WASH8P,-,"WAS protein family homolog 8, pseudogene",pseudo
siBAZ2B_3_peak_3444,chr17,22020533,22020990,+,822,NA,Intergenic,Intergenic,-1676,NM_001190452,100462977,,NM_001190452,,MTRNR2L1,HN1,MT-RNR2 like 1 (pseudogene),pseudo
siBAZ2B_3_peak_5653,chr22,23161862,23162375,+,803,NA,Intergenic,Intergenic,-3152,NR_030755,723778,,NR_030755,ENSG00000284049,MIR650,MIRN650|hsa-mir-650,microRNA 650,ncRNA
siBAZ2B_3_peak_4,chr1,567253,567944,+,792,NA,TTS (NR_162149),TTS (NR_162149),467,NR_162149,113219467,,NR_162149,,MIR12136,-,microRNA 12136,ncRNA
siBAZ2B_3_peak_2908,chr16,1075142,1075720,+,755,NA,Intergenic,Intergenic,43661,NM_014587,30812,,NM_014587,ENSG00000005513,SOX8,-,SRY-box transcription factor 8,protein-coding
siBAZ2B_3_peak_7765,chr8,12051436,12052540,+,744,NA,promoter-TSS (NM_001083537),promoter-TSS (NM_001083537),-346,NR_148877,653333,,NM_001137610,ENSG00000145002,FAM86B2,-,family with sequence similarity 86 member B2,protein-coding
siBAZ2B_3_peak_2250,chr13,110076328,110076817,+,704,NA,Intergenic,Intergenic,23529,NR_126361,104326054,,NR_126361,ENSG00000229792,LINC00399,TCONS_00021596,long intergenic non-protein coding RNA 399,ncRNA
siBAZ2B_3_peak_8121,chr8,145992856,145993891,+,645,NA,Intergenic,Intergenic,-12457,NM_138367,90987,,NM_138367,ENSG00000198169,ZNF251,-,zinc finger protein 251,protein-coding
siBAZ2B_3_peak_760,chr1,236260289,236260821,+,637,NA,Intergenic,LTR10A|LTR|ERV1,-32165,NM_002508,4811,,NM_002508,ENSG00000116962,NID1,NID,nidogen 1,protein-coding
siBAZ2B_3_peak_4218,chr19,27731843,27732773,+,586,NA,Intergenic,ALR/Alpha|Satellite|centr,-552031,NR_146734,101927151,,NR_110687,ENSG00000267575,LINC02987,-,long intergenic non-protein coding RNA 2987,ncRNA
siBAZ2B_3_peak_4467,chr19,48995954,48996820,+,548,NA,"intron (NM_001080434, intron 13 of 15)","intron (NM_001080434, intron 13 of 15)",20059,NM_001080434,114783,,NM_001080434,ENSG00000142235,LMTK3,LMR3|PPP1R101|TYKLM3,lemur tyrosine kinase 3,protein-coding
siBAZ2B_3_peak_1735,chr12,8395341,8396600,+,522,NA,promoter-TSS (NR_024254),promoter-TSS (NR_024254),-428,NR_024254,653113,,NR_024254,,FAM86FP,-,"family with sequence similarity 86, member A pseudogene",pseudo
siBAZ2B_3_peak_4993,chr2,112811796,112812841,+,496,NA,promoter-TSS (NM_001329914),promoter-TSS (NM_001329914),-528,NM_001329914,84910,,NM_032824,ENSG00000153214,TMEM87B,-,transmembrane protein 87B,protein-coding
siBAZ2B_3_peak_2,chr1,564690,565344,+,488,NA,promoter-TSS (NR_125957),promoter-TSS (NR_125957),-628,NR_125957,101928626,,NR_125957,ENSG00000293331,LOC101928626,-,uncharacterized LOC101928626,ncRNA
siBAZ2B_3_peak_5287,chr2,242294498,242295822,+,474,NA,promoter-TSS (NM_014808),promoter-TSS (NM_014808),-540,NM_014808,9855,,NM_014808,ENSG00000006607,FARP2,FIR|FRG|PLEKHC3,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",protein-coding
siBAZ2B_3_peak_5960,chr3,73159862,73160310,+,473,NA,Intergenic,CpG,49276,NM_018029,55096,,NM_018029,ENSG00000255423,EBLN2,EBLN-2,endogenous Bornavirus like nucleoprotein 2,protein-coding
siBAZ2B_3_peak_2988,chr16,5147670,5148740,+,450,NA,promoter-TSS (NM_201598),promoter-TSS (NM_201598),-384,NM_001289029,196483,,NM_201400,ENSG00000118894,EEF2KMT,EFM3|FAM86A|SB153|eEF2-KMT,eukaryotic elongation factor 2 lysine methyltransferase,protein-coding
siBAZ2B_3_peak_7273,chr7,9842,10321,+,447,NA,Intergenic,(CCCTAA)n|Simple_repeat|Simple_repeat,139357,NR_134325,102723672,,NR_134325,,LINC03015,-,long intergenic non-protein coding RNA 3015,ncRNA
siBAZ2B_3_peak_3,chr1,565961,566733,+,447,NA,Intergenic,Intergenic,1718,NR_162149,113219467,,NR_162149,,MIR12136,-,microRNA 12136,ncRNA
siBAZ2B_3_peak_6024,chr3,125634662,125635533,+,437,NA,promoter-TSS (NR_024250),promoter-TSS (NR_024250),-347,NR_024251,100125556,,NR_024250,ENSG00000291071,FAM86JP,-,"family with sequence similarity 86, member A pseudogene",pseudo
siBAZ2B_3_peak_6045,chr3,129830142,129831314,+,427,NA,promoter-TSS (NR_024252),promoter-TSS (NR_024252),178,NR_146653,105374104,,NR_146653,ENSG00000249846,LINC02021,-,long intergenic non-protein coding RNA 2021,ncRNA
siBAZ2B_3_peak_97,chr1,17066431,17067790,+,423,NA,promoter-TSS (NR_004400).3,promoter-TSS (NR_004400).3,99,NR_004430,26871,,NR_004430,ENSG00000206652,RNU1-1,HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1,"RNA, U1 small nuclear 1",snRNA
siBAZ2B_3_peak_1210,chr11,3443507,3444716,+,405,NA,Intergenic,CpG,-30966,NR_044999,10821,,NR_044999,ENSG00000189398,OR7E12P,HG1058|OR11-3|OR7E58P|OR7E79P|OR7E81P|OST021,olfactory receptor family 7 subfamily E member 12 pseudogene,pseudo
siBAZ2B_3_peak_7114,chr6,157731466,157732121,+,400,NA,"intron (NM_018452, intron 3 of 3)","intron (NM_018452, intron 3 of 3)",12758,NM_018452,729515,,NM_018452,ENSG00000215712,TMEM242,BM033|C6orf35,transmembrane protein 242,protein-coding
siBAZ2B_3_peak_96,chr1,16992730,16994023,+,396,NA,promoter-TSS (NR_004400).2,promoter-TSS (NR_004400).2,67,NR_004408,26869,,NR_004408,ENSG00000207513,RNU1-3,HSD4|RNU1G3,"RNA, U1 small nuclear 3",snRNA
siBAZ2B_3_peak_1531,chr11,71497693,71498705,+,394,NA,Intergenic,CpG,26706,NR_073386,285407,,NR_073386,ENSG00000293546,ALG1L9P,-,"ALG1 like 9, pseudogene",pseudo
siBAZ2B_3_peak_7277,chr7,675517,676251,+,390,NA,"intron (NM_002735, intron 4 of 10)",CpG,32849,NR_110055,101926963,,NR_110054,ENSG00000237181,PRKAR1B-AS1,-,PRKAR1B antisense RNA 1,ncRNA
siBAZ2B_3_peak_5961,chr3,75484004,75485208,+,384,NA,promoter-TSS (NR_024241),promoter-TSS (NR_024241),147,NR_151707,107986100,,NR_151705,ENSG00000272690,LINC02018,-,long intergenic non-protein coding RNA 2018,ncRNA
siBAZ2B_3_peak_7140,chr6,170461128,170461664,+,379,NA,Intergenic,Intergenic,-14470,NR_125878,102724511,,NR_125878,ENSG00000232197,LOC102724511,-,uncharacterized LOC102724511,ncRNA
siBAZ2B_3_peak_1514,chr11,67572546,67573739,+,378,NA,promoter-TSS (NR_024249),promoter-TSS (NR_024249),-335,NR_024249,645332,,NR_024249,ENSG00000290994,FAM86C2P,-,"family with sequence similarity 86, member A pseudogene",pseudo
siBAZ2B_3_peak_8616,chrX,19470119,19470575,+,375,NA,"intron (NM_001001671, intron 6 of 28)",(GAGAA)n|Simple_repeat|Simple_repeat,63032,NM_001001671,389840,,NM_001001671,ENSG00000180815,MAP3K15,ASK3|bA723P2.3,mitogen-activated protein kinase kinase kinase 15,protein-coding
siBAZ2B_3_peak_7433,chr7,61968635,61969729,+,374,NA,Intergenic,ALR/Alpha|Satellite|centr,795252,NR_003952,643955,,NR_003952,ENSG00000290558,ZNF733P,ZNF733,"zinc finger protein 733, pseudogene",pseudo
siBAZ2B_3_peak_4370,chr19,42772294,42773374,+,373,NA,promoter-TSS (NM_001379482),promoter-TSS (NM_001379482),152,NM_001304815,23152,,NM_015125,ENSG00000079432,CIC,MRD45,capicua transcriptional repressor,protein-coding
siBAZ2B_3_peak_7750,chr8,8085140,8086654,+,372,NA,promoter-TSS (NR_024363),promoter-TSS (NR_024363),-195,NR_024363,286042,,NR_024361,ENSG00000291049,FAM86B3P,-,"family with sequence similarity 86, member A pseudogene",pseudo
siBAZ2B_3_peak_4475,chr19,49217074,49217902,+,371,NA,"intron (NM_001297753, intron 4 of 6)",CpG,2726,NM_182574,284358,,NM_182574,ENSG00000176909,MAMSTR,MASTR,MEF2 activating motif and SAP domain containing transcriptional regulator,protein-coding
siBAZ2B_3_peak_3565,chr17,41465900,41466484,+,363,NA,promoter-TSS (NR_027412),promoter-TSS (NR_027412),74,NR_027413,100130581,,NR_027412,ENSG00000188825,LINC00910,-,long intergenic non-protein coding RNA 910,ncRNA
siBAZ2B_3_peak_4468,chr19,49004589,49005323,+,361,NA,"intron (NM_001080434, intron 8 of 15)",CT-rich|Low_complexity|Low_complexity,11490,NM_001080434,114783,,NM_001080434,ENSG00000142235,LMTK3,LMR3|PPP1R101|TYKLM3,lemur tyrosine kinase 3,protein-coding
siBAZ2B_3_peak_3888,chr18,9903,10535,+,354,NA,Intergenic,(CCCTAA)n|Simple_repeat|Simple_repeat,-1341,NR_149138,102724130,,NR_149137,,LINC02564,-,long intergenic non-protein coding RNA 2564,ncRNA
siBAZ2B_3_peak_880,chr10,42529206,42529842,+,347,NA,Intergenic,ALR/Alpha|Satellite|centr,333969,NR_024380,441666,,NR_024380,ENSG00000291065,LOC441666,-,zinc finger protein 91 pseudogene,pseudo
siBAZ2B_3_peak_2886,chr15,102521066,102521535,+,340,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,-1999,NR_148357,102725121,,NR_148357,,DDX11L17,-,DEAD/H-box helicase 11 like 17 (pseudogene),pseudo
siBAZ2B_3_peak_8498,chr9,139685285,139686135,+,336,NA,promoter-TSS (NM_032928),promoter-TSS (NM_032928),-86,NM_032928,85014,,NM_032928,ENSG00000244187,TMEM141,-,transmembrane protein 141,protein-coding
siBAZ2B_3_peak_1217,chr11,6255689,6256630,+,335,NA,promoter-TSS (NM_001098794),promoter-TSS (NM_001098794),-293,NM_032127,84067,,NM_032127,ENSG00000051009,FHIP1B,C11orf56|FAM160A2|FHIP,FHF complex subunit HOOK interacting protein 1B,protein-coding
siBAZ2B_3_peak_7521,chr7,94287096,94287929,+,332,NA,"intron (NM_001172437, intron 1 of 1)","intron (NM_001172437, intron 1 of 1)",1830,NM_001172438,23089,,NM_015068,ENSG00000242265,PEG10,EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3|RTL2|SIRH1,paternally expressed 10,protein-coding
siBAZ2B_3_peak_4510,chr19,50269588,50270525,+,329,NA,promoter-TSS (NM_014203),promoter-TSS (NM_014203),-202,NM_014203,160,,NM_014203,ENSG00000196961,AP2A1,ADTAA|AP2-ALPHA|CLAPA1,adaptor related protein complex 2 subunit alpha 1,protein-coding
siBAZ2B_3_peak_4348,chr19,41426784,41427501,+,327,NA,Intergenic,Intergenic,-3028,NR_001278,1556,,NR_001278,ENSG00000291083,CYP2B7P,CYP2B|CYP2B7|CYP2B7P1,"cytochrome P450 family 2 subfamily B member 7, pseudogene",pseudo
siBAZ2B_3_peak_7743,chr8,2075260,2075790,+,325,NA,"intron (NM_003970, intron 31 of 36)",CpG,50856,NR_106983,102465695,,NR_106983,ENSG00000273593,MIR7160,hsa-mir-7160,microRNA 7160,ncRNA
siBAZ2B_3_peak_4567,chr19,55850353,55851406,+,323,NA,promoter-TSS (NM_032701),promoter-TSS (NM_032701),-365,NM_032701,84787,,NM_032701,ENSG00000133247,KMT5C,SUV420H2|Suv4-20h2,lysine methyltransferase 5C,protein-coding
siBAZ2B_3_peak_1179,chr11,576008,576519,+,321,NA,promoter-TSS (NR_026967),promoter-TSS (NR_026967),-207,NM_001286582,57661,,NM_020901,ENSG00000070047,PHRF1,PPP1R125|RNF221,PHD and ring finger domains 1,protein-coding
siBAZ2B_3_peak_1887,chr12,56367271,56368161,+,321,NA,promoter-TSS (NM_002868),promoter-TSS (NM_002868),19,NM_001252036,5869,,NM_002868,ENSG00000111540,RAB5B,-,"RAB5B, member RAS oncogene family",protein-coding
siBAZ2B_3_peak_4336,chr19,41076212,41077026,+,314,NA,"exon (NM_020971, exon 33 of 36)","exon (NM_020971, exon 33 of 36)",-6160,NM_138392,92799,,NM_138392,ENSG00000160410,SHKBP1,PP203|Sb1,SH3KBP1 binding protein 1,protein-coding
siBAZ2B_3_peak_3232,chr16,84047394,84048165,+,312,NA,"intron (NM_001080442, intron 9 of 10)","intron (NM_001080442, intron 9 of 10)",28621,NM_001080442,146167,,NM_001080442,ENSG00000166558,SLC38A8,FHASD|FVH2|SNAT8,solute carrier family 38 member 8,protein-coding
siBAZ2B_3_peak_1156,chr10,134350494,134351450,+,307,NA,promoter-TSS (NR_158224),promoter-TSS (NR_158224),-319,NM_005539,3632,,NM_005539,ENSG00000068383,INPP5A,5PTASE,inositol polyphosphate-5-phosphatase A,protein-coding
siBAZ2B_3_peak_877,chr10,42398433,42398911,+,307,NA,Intergenic,ALR/Alpha|Satellite|centr,464821,NR_024380,441666,,NR_024380,ENSG00000291065,LOC441666,-,zinc finger protein 91 pseudogene,pseudo
siBAZ2B_3_peak_1428,chr11,64545985,64546667,+,306,NA,promoter-TSS (NM_001346410),promoter-TSS (NM_001346410),-312,NM_001378957,7536,,NM_004630,ENSG00000168066,SF1,BBP|D11S636|MBBP|ZCCHC25|ZFM1|ZNF162,splicing factor 1,protein-coding
siBAZ2B_3_peak_5410,chr20,33463791,33464449,+,305,NA,promoter-TSS (NM_001076552),promoter-TSS (NM_001076552),-208,NM_001076552,55902,,NM_018677,ENSG00000131069,ACSS2,ACAS2|ACECS|ACS|ACSA|AceCS1|dJ1161H23.1,acyl-CoA synthetase short chain family member 2,protein-coding
siBAZ2B_3_peak_3326,chr17,4870320,4871166,+,305,NA,TTS (NM_001171168),TTS (NM_001171168),369,NM_004890,9552,,NM_004890,ENSG00000091640,SPAG7,ACRP|FSA-1,sperm associated antigen 7,protein-coding
siBAZ2B_3_peak_6285,chr4,71705460,71706058,+,303,NA,promoter-TSS (NM_001098477),promoter-TSS (NM_001098477),-152,NM_002092,2926,,NM_002092,ENSG00000132463,GRSF1,-,G-rich RNA sequence binding factor 1,protein-coding
siBAZ2B_3_peak_8535,chrUn_gl000212,40433,41234,+,302,NA,"intron (NR_027278, intron 1 of 7)",HSATI|Satellite|Satellite,16784,NR_027278,26080,,NR_027278,ENSG00000279516,FAM230C,LINC00281|NCRNA00281,family with sequence similarity 230 member C,ncRNA
siBAZ2B_3_peak_1181,chr11,695059,695988,+,301,NA,promoter-TSS (NM_001384408),promoter-TSS (NM_001384408),-116,NM_174940,283232,,NM_174940,ENSG00000177042,TMEM80,-,transmembrane protein 80,protein-coding
siBAZ2B_3_peak_4230,chr19,30335243,30336313,+,295,NA,Intergenic,CpG,32880,NM_001322262,898,,NM_001238,ENSG00000105173,CCNE1,CCNE|pCCNE1,cyclin E1,protein-coding
siBAZ2B_3_peak_8576,chrUn_gl000228,118005,118875,+,294,NA,"intron (NR_137167, intron 2 of 5)",BSR/Beta|Satellite|Satellite,5835,NR_137167,100288687,,NM_001205218,ENSG00000260596,DUX4,DUX4L,double homeobox 4,protein-coding
siBAZ2B_3_peak_4525,chr19,50832395,50833086,+,293,NA,promoter-TSS (NM_004977),promoter-TSS (NM_004977),-106,NM_004977,3748,,NM_004977,ENSG00000131398,KCNC3,KSHIIID|KV3.3|SCA13,potassium voltage-gated channel subfamily C member 3,protein-coding
siBAZ2B_3_peak_8253,chr9,69710736,69711344,+,293,NA,"intron (NR_160670, intron 4 of 4)",ALR/Alpha|Satellite|centr,46744,NR_121570,101928381,,NR_121570,,LOC101928381,-,uncharacterized LOC101928381,ncRNA
siBAZ2B_3_peak_878,chr10,42400166,42400709,+,292,NA,Intergenic,ALR/Alpha|Satellite|centr,463056,NR_024380,441666,,NR_024380,ENSG00000291065,LOC441666,-,zinc finger protein 91 pseudogene,pseudo
siBAZ2B_3_peak_4675,chr2,24306848,24307771,+,291,NA,promoter-TSS (NM_001206802),promoter-TSS (NM_001206802),-108,NM_001206802,9540,,NM_004881,ENSG00000115129,TP53I3,PIG3,tumor protein p53 inducible protein 3,protein-coding
siBAZ2B_3_peak_7767,chr8,12293536,12294624,+,290,NA,promoter-TSS (NM_001137610),promoter-TSS (NM_001137610),-165,NR_148876,653333,,NM_001137610,ENSG00000145002,FAM86B2,-,family with sequence similarity 86 member B2,protein-coding
siBAZ2B_3_peak_1398,chr11,62521353,62522035,+,289,NA,promoter-TSS (NM_001363109),promoter-TSS (NM_001363109),-62,NM_001363109,79842,,NM_024784,ENSG00000185670,ZBTB3,-,zinc finger and BTB domain containing 3,protein-coding
siBAZ2B_3_peak_4039,chr19,3284923,3285671,+,287,NA,"intron (NR_033342, intron 9 of 12)","intron (NR_033342, intron 9 of 12)",60021,NR_033342,60680,,NM_021938,ENSG00000161082,CELF5,BRUNOL-5|BRUNOL5|CELF-5,CUGBP Elav-like family member 5,protein-coding
siBAZ2B_3_peak_4506,chr19,50143348,50144055,+,286,NA,promoter-TSS (NM_006270),promoter-TSS (NM_006270),-301,NM_006270,6237,,NM_006270,ENSG00000126458,RRAS,R-Ras|RRAS1,RAS related,protein-coding
siBAZ2B_3_peak_6227,chr4,9154053,9155165,+,286,NA,Intergenic,CpG,-20290,NM_001358418,100287045,,NM_001358418,ENSG00000229924,FAM90A26,FAM90A26P,family with sequence similarity 90 member A26,protein-coding
siBAZ2B_3_peak_4550,chr19,54693413,54695040,+,285,NA,promoter-TSS (NM_024075),promoter-TSS (NM_024075),31,NM_024075,79042,,NM_024075,ENSG00000170892,TSEN34,LENG5|PCH2C|SEN34|SEN34L,tRNA splicing endonuclease subunit 34,protein-coding
siBAZ2B_3_peak_2549,chr14,107169811,107170229,+,285,NA,Intergenic,Intergenic,89194,NR_049827,100847062,,NR_049827,ENSG00000265929,MIR5195,-,microRNA 5195,ncRNA
siBAZ2B_3_peak_4364,chr19,42579767,42580616,+,283,NA,promoter-TSS (NM_022752),promoter-TSS (NM_022752),-127,NM_022752,64763,,NM_022752,ENSG00000105732,ZNF574,FP972,zinc finger protein 574,protein-coding
siBAZ2B_3_peak_7810,chr8,25315780,25316812,+,280,NA,promoter-TSS (NM_152562),promoter-TSS (NM_152562),-151,NM_001317907,157313,,NM_152562,ENSG00000184661,CDCA2,PPP1R81|Repo-Man,cell division cycle associated 2,protein-coding
siBAZ2B_3_peak_4383,chr19,44172477,44173436,+,279,NA,"intron (NM_001005377, intron 1 of 5)",CpG,1365,NM_001005377,5329,,NM_002659,ENSG00000011422,PLAUR,CD87|U-PAR|UPAR|URKR,"plasminogen activator, urokinase receptor",protein-coding
siBAZ2B_3_peak_8534,chrM,13007,16490,+,279,NA,Intergenic,Intergenic,-7233,NR_162149,113219467,,NR_162149,,MIR12136,-,microRNA 12136,ncRNA
siBAZ2B_3_peak_8375,chr9,123630682,123631405,+,277,NA,TTS (NM_001009936),TTS (NM_001009936),146,NR_104601,26147,,NM_015651,ENSG00000119403,PHF19,MTF2L1|PCL3|TDRD19B,PHD finger protein 19,protein-coding
siBAZ2B_3_peak_3394,chr17,16913541,16914630,+,275,NA,Intergenic,Intergenic,22442,NR_146886,105371562,,NR_146886,ENSG00000230969,LINC02090,-,long intergenic non-protein coding RNA 2090,ncRNA
siBAZ2B_3_peak_5599,chr21,45848246,45848721,+,275,NA,"intron (NR_038257, intron 27 of 31)","intron (NR_038257, intron 27 of 31)",-3037,NR_109964,101928607,,NR_109964,,TRPM2-AS,TRPM2-AS1,TRPM2 antisense RNA,ncRNA
siBAZ2B_3_peak_2957,chr16,2955132,2956054,+,273,NA,Intergenic,(CGGGG)n|Simple_repeat|Simple_repeat,-6339,NM_001308068,84256,,NM_020912,ENSG00000059122,FLYWCH1,-,FLYWCH-type zinc finger 1,protein-coding
siBAZ2B_3_peak_6215,chr4,3956926,3958039,+,272,NA,promoter-TSS (NR_130740),promoter-TSS (NR_130740),-327,NR_130741,348926,,NR_024253,ENSG00000290374,FAM86EP,-,"family with sequence similarity 86, member A pseudogene",pseudo
siBAZ2B_3_peak_6582,chr5,79947209,79947988,+,270,NA,promoter-TSS (NM_001190470),promoter-TSS (NM_001190470),-771,NM_001190470,100462981,,NM_001190470,,MTRNR2L2,HN2,MT-RNR2 like 2 (pseudogene),pseudo
siBAZ2B_3_peak_6833,chr5,178012417,178012858,+,270,NA,"intron (NM_173465, intron 1 of 28)","intron (NM_173465, intron 1 of 28)",4757,NM_173465,91522,,NM_173465,ENSG00000050767,COL23A1,-,collagen type XXIII alpha 1 chain,protein-coding
siBAZ2B_3_peak_4298,chr19,39340253,39341686,+,270,NA,promoter-TSS (NM_001385651),promoter-TSS (NM_001385651),-343,NM_001385651,3191,,NM_001533,ENSG00000104824,HNRNPL,HNRPL|P/OKcl.14|hnRNP-L,heterogeneous nuclear ribonucleoprotein L,protein-coding
siBAZ2B_3_peak_7674,chr7,143533513,143534506,+,268,NA,promoter-TSS (NR_015421),promoter-TSS (NR_015421),-199,NR_015421,154761,,NR_015421,ENSG00000291149,LOC154761,-,"family with sequence similarity 115, member C pseudogene",pseudo
siBAZ2B_3_peak_378,chr1,143912871,143914230,+,268,NA,promoter-TSS (NM_001346071),promoter-TSS (NM_001346071),-381,NM_207418,728833,,NM_207418,ENSG00000215784,FAM72D,GCUD2,family with sequence similarity 72 member D,protein-coding
siBAZ2B_3_peak_1173,chr11,506549,507391,+,267,NA,promoter-TSS (NM_002939),promoter-TSS (NM_002939),-149,NM_203385,6050,,NM_002939,ENSG00000023191,RNH1,IIAE12|RAI|RNH,ribonuclease/angiogenin inhibitor 1,protein-coding
siBAZ2B_3_peak_1417,chr11,64008218,64009144,+,264,NA,promoter-TSS (NM_001370365),promoter-TSS (NM_001370365),77,NM_001135208,2286,,NM_004470,ENSG00000173486,FKBP2,FKBP-13|FKBP13|PPIase,FKBP prolyl isomerase 2,protein-coding
siBAZ2B_3_peak_1024,chr10,99257994,99258802,+,263,NA,promoter-TSS (NM_001289403),promoter-TSS (NM_001289403),-32,NM_001351358,64210,,NM_022362,ENSG00000155229,MMS19,CIAO4|MET18|MMS19L|hMMS19,"MMS19 homolog, cytosolic iron-sulfur assembly component",protein-coding
siBAZ2B_3_peak_4406,chr19,46087430,46088296,+,263,NA,"intron (NM_025136, intron 1 of 1)","intron (NM_025136, intron 1 of 1)",197,NM_001017989,80207,,NM_025136,ENSG00000125741,OPA3,MGA 3,outer mitochondrial membrane lipid metabolism regulator OPA3,protein-coding
siBAZ2B_3_peak_659,chr1,206137248,206138764,+,263,NA,promoter-TSS (NM_001287385).2,promoter-TSS (NM_001287385).2,-434,NM_001287385,554282,,NM_001287385,ENSG00000263513,FAM72C,-,family with sequence similarity 72 member C,protein-coding
siBAZ2B_3_peak_7455,chr7,72649205,72650017,+,261,NA,"intron (NR_003186, intron 7 of 7)",CpG-25564,14937,NR_003186,654816,,NR_003186,ENSG00000290838,NCF1B,NCF-1B|SH3PXD1B,neutrophil cytosolic factor 1B (pseudogene),pseudo
siBAZ2B_3_peak_6448,chr5,912488,913181,+,260,NA,"intron (NM_004237, intron 10 of 12)",CpG,19835,NM_004237,9319,,NM_004237,ENSG00000071539,TRIP13,16E1BP|MVA3|OOMD9|OZEMA9,thyroid hormone receptor interactor 13,protein-coding
siBAZ2B_3_peak_2257,chr13,113967882,113969497,+,260,NA,"intron (NM_005561, intron 4 of 8)","intron (NM_005561, intron 4 of 8)",17135,NM_005561,3916,,NM_005561,ENSG00000185896,LAMP1,CD107a|LAMPA|LGP120,lysosomal associated membrane protein 1,protein-coding
siBAZ2B_3_peak_8544,chrUn_gl000220,6957,8204,+,260,NA,Intergenic,Intergenic,-89549,NR_038958,100507412,,NR_038958,,LOC100507412,-,uncharacterized LOC100507412,ncRNA
