,Uniprot,Protein Symbol,Antibodypedia Link,Ref-ed Antibodies via Antibodypedia,Total Article Count,Term Article Count,'String' Interactions,GO Score,UV Score,Overall Score,GO Terms
10,A6NNZ2,NA,https://www.antibodypedia.com/gene/71184/TUBB8B,0,0,0,1,0,3,2.698443694971617,"['C:cytoplasm', 'C:extracellular exosome', 'C:intercellular bridge', 'C:microtubule', 'C:microtubule cytoskeleton', 'C:mitotic spindle', 'F:GTP binding', 'F:GTPase activity', 'F:metal ion binding', 'F:structural constituent of cytoskeleton', 'P:microtubule cytoskeleton organization', 'P:mitotic cell cycle']"
11,A8K0Z3,WASHC1,https://www.antibodypedia.com/gene/75837/WASHC1,0,10,2,4,0,1,1.499623511992114,"['C:autophagosome', 'C:centriole', 'C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:late endosome', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'F:phosphatidylinositol 3-kinase inhibitor activity', 'F:ubiquitin protein ligase binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:extracellular matrix disassembly', 'P:negative regulation of autophagy', 'P:positive regulation of cell migration', 'P:positive regulation of pseudopodium assembly', 'P:protein transport', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:regulation of protein ubiquitination', 'P:retrograde transport, endosome to Golgi']"
12,A8K0Z3,WASHC1,https://www.antibodypedia.com/gene/75837/WASHC1,0,10,2,4,0,3,3.193510771862653,"['C:autophagosome', 'C:centriole', 'C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:late endosome', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'F:phosphatidylinositol 3-kinase inhibitor activity', 'F:ubiquitin protein ligase binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:extracellular matrix disassembly', 'P:negative regulation of autophagy', 'P:positive regulation of cell migration', 'P:positive regulation of pseudopodium assembly', 'P:protein transport', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:regulation of protein ubiquitination', 'P:retrograde transport, endosome to Golgi']"
13,A8K0Z3,WASHC1,https://www.antibodypedia.com/gene/75837/WASHC1,0,10,2,4,0,1,1.499623511992114,"['C:autophagosome', 'C:centriole', 'C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:late endosome', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'F:phosphatidylinositol 3-kinase inhibitor activity', 'F:ubiquitin protein ligase binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:extracellular matrix disassembly', 'P:negative regulation of autophagy', 'P:positive regulation of cell migration', 'P:positive regulation of pseudopodium assembly', 'P:protein transport', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:regulation of protein ubiquitination', 'P:retrograde transport, endosome to Golgi']"
14,A8MTJ6,FOXI3,https://www.antibodypedia.com/gene/73246/FOXI3,1,43,1,0,3,2,3.0042500106363335,"['C:nucleus', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'P:anatomical structure morphogenesis', 'P:cell differentiation', 'P:epidermal cell fate specification', 'P:hair follicle development', 'P:odontogenesis of dentin-containing tooth', 'P:otic placode development', 'P:parathyroid gland development', 'P:pharyngeal system development', 'P:regulation of transcription by RNA polymerase II', 'P:thymus development']"
15,A8MUU1,NA,None,0,0,0,0,0,-4,-3.3877745197410785,"['C:cytosol', 'C:nucleus', 'F:fatty acid binding', 'P:fatty acid transport']"
16,A8MWX3,NA,None,0,0,0,1,0,-4,-3.2301617145752703,"['C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:retrograde transport, endosome to Golgi']"
17,A8MXQ7,NA,https://www.antibodypedia.com/gene/81522/IQANK1,0,0,0,0,0,2,1.6938872598705392,[]
18,A8MZA4,GOLGA6L6,https://www.antibodypedia.com/gene/78143/GOLGA6L6,0,1,0,1,0,4,3.54518398290508,[]
19,B2RPK0,NA,None,0,0,0,0,2,5,5.0819896731009315,"['C:chromosome', 'C:nucleus', 'F:DNA binding, bending', 'P:regulation of transcription by RNA polymerase II']"
20,B2RXH8,HNRNPCL2,https://www.antibodypedia.com/gene/82492/HNRNPCL2,0,3,0,2,0,3,2.855446474132006,"['C:nucleus', 'C:ribonucleoprotein complex', 'F:identical protein binding', 'F:RNA binding']"
21,B7ZW38,HNRNPCL4,https://www.antibodypedia.com/gene/82489/HNRNPCL3,0,1,0,1,0,-4,-3.2303650565770767,"['C:nucleus', 'F:RNA binding']"
22,O00116,AGPS,https://www.antibodypedia.com/gene/33922/AGPS,1,929,9,3,0,3,2.9700120829785304,"['C:cytosol', 'C:membrane', 'C:mitochondrion', 'C:peroxisomal matrix', 'C:peroxisomal membrane', 'C:peroxisome', 'F:alkylglycerone-phosphate synthase activity', 'F:FAD binding', 'P:ether lipid biosynthetic process', 'P:lipid biosynthetic process']"
23,O00186,STXBP3,https://www.antibodypedia.com/gene/20045/STXBP3,4,46,0,7,0,1,2.0851520580158343,"['C:apical plasma membrane', 'C:basolateral plasma membrane', 'C:cytosol', 'C:extracellular exosome', 'C:phagocytic vesicle', 'C:plasma membrane', 'C:platelet alpha granule', 'C:presynapse', 'C:secretory granule', 'C:specific granule', 'C:tertiary granule', 'F:protein-containing complex binding', 'F:syntaxin binding', 'F:syntaxin-1 binding', 'P:brain development', 'P:cellular response to type II interferon', 'P:insulin secretion', 'P:intracellular glucose homeostasis', 'P:intracellular protein transport', 'P:negative regulation of calcium ion-dependent exocytosis', 'P:negative regulation of glucose import', 'P:neurotransmitter secretion', 'P:neutrophil degranulation', 'P:platelet aggregation', 'P:protein to membrane docking', 'P:response to insulin', 'P:vesicle docking involved in exocytosis', 'P:vesicle-mediated transport']"
24,O00330,PDHX,https://www.antibodypedia.com/gene/25893/PDHX,13,159,1,0,0,3,2.989516255234192,"['C:mitochondrial matrix', 'C:mitochondrion', 'C:pyruvate dehydrogenase complex', 'F:acyltransferase activity', 'P:acetyl-CoA biosynthetic process from pyruvate']"
25,O14522,PTPRT,https://www.antibodypedia.com/gene/2780/PTPRT,7,123,7,5,0,1,1.9473907914882478,"['C:cell surface', 'C:glutamatergic synapse', 'C:membrane', 'C:plasma membrane', 'C:postsynaptic density membrane', 'F:alpha-actinin binding', 'F:alpha-catenin binding', 'F:beta-catenin binding', 'F:cadherin binding', 'F:delta-catenin binding', 'F:gamma-catenin binding', 'F:protein homodimerization activity', 'F:protein phosphatase binding', 'F:protein tyrosine phosphatase activity', 'F:STAT family protein binding', 'F:thiolester hydrolase activity', 'F:transmembrane receptor protein tyrosine phosphatase activity', 'P:cell adhesion', 'P:cell surface receptor protein tyrosine kinase signaling pathway', 'P:cellular response to interleukin-6', 'P:homophilic cell adhesion via plasma membrane adhesion molecules', 'P:negative regulation of cell migration', 'P:negative regulation of receptor signaling pathway via STAT', 'P:peptidyl-tyrosine dephosphorylation', 'P:peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity', 'P:protein dephosphorylation', 'P:regulation of synapse organization', 'P:signal transduction']"
26,O14647,CHD2,https://www.antibodypedia.com/gene/29044/CHD2,4,237,12,2,3,1,2.67472948344873,"['C:chromatin', 'C:nucleus', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:ATP-dependent chromatin remodeler activity', 'F:chromatin binding', 'F:DNA binding', 'F:helicase activity', 'F:histone binding', 'F:RNA binding', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'P:DNA damage response', 'P:gene expression', 'P:hematopoietic stem cell differentiation', 'P:muscle organ development', 'P:nucleosome organization']"
27,O14772,FPGT,https://www.antibodypedia.com/gene/53161/FPGT,0,13,0,0,0,3,2.5381874437823275,"['C:cytoplasm', 'C:cytosol', 'F:catalytic activity', 'F:fucose-1-phosphate guanylyltransferase activity', 'F:GTP binding', 'P:fucose metabolic process']"
28,O14787,TNPO2,https://www.antibodypedia.com/gene/26113/TNPO2,3,24,0,5,0,1,1.7383318407232065,"['C:cytoplasm', 'C:nucleus', 'F:nuclear import signal receptor activity', 'F:nuclear localization sequence binding', 'F:small GTPase binding', 'P:protein import into nucleus']"
29,O14893,GEMIN2,https://www.antibodypedia.com/gene/4218/GEMIN2,5,182,1,8,-3,1,0.9924022375057052,"['C:cytosol', 'C:Gemini of coiled bodies', 'C:nuclear body', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:SMN complex', 'C:SMN-Sm protein complex', 'C:spliceosomal complex', 'P:mRNA processing', 'P:negative regulation of RNA binding', 'P:RNA splicing', 'P:RNA splicing, via transesterification reactions', 'P:spliceosomal complex assembly', 'P:spliceosomal snRNP assembly']"
30,O15061,SYNM,https://www.antibodypedia.com/gene/29140/SYNM,4,33,0,3,0,3,3.1512315432466225,"['C:adherens junction', 'C:costamere', 'C:intermediate filament', 'C:intermediate filament cytoskeleton', 'C:neurofilament cytoskeleton', 'C:sarcolemma', 'F:intermediate filament binding', 'F:structural constituent of cytoskeleton', 'F:structural constituent of muscle', 'F:vinculin binding', 'P:fast-twitch skeletal muscle fiber contraction', 'P:intermediate filament cytoskeleton organization']"
31,O15143,ARPC1B,https://www.antibodypedia.com/gene/1378/ARPC1B,11,87,2,8,0,5,5.898941359265582,"['C:actin cytoskeleton', 'C:Arp2/3 protein complex', 'C:cytosol', 'C:extracellular exosome', 'C:focal adhesion', 'C:nucleus', 'C:tubulobulbar complex', 'F:actin binding', 'F:protein-containing complex binding', 'F:structural constituent of cytoskeleton', 'P:Arp2/3 complex-mediated actin nucleation', 'P:response to estradiol', 'P:response to estrogen']"
32,O15162,PLSCR1,https://www.antibodypedia.com/gene/18144/PLSCR1,11,194,5,4,3,-4,-1.0684597177539539,"['C:collagen-containing extracellular matrix', 'C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:Golgi apparatus', 'C:membrane', 'C:membrane raft', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'F:calcium ion binding', 'F:CD4 receptor binding', 'F:DNA binding', 'F:DNA-binding transcription activator activity, RNA polymerase II-specific', 'F:enzyme binding', 'F:epidermal growth factor receptor binding', 'F:lead ion binding', 'F:magnesium ion binding', 'F:mercury ion binding', 'F:nuclease activity', 'F:phospholipid scramblase activity', 'F:SH3 domain binding', 'F:virus receptor activity', 'F:zinc ion binding', 'P:acute-phase response', 'P:apoptotic process', 'P:defense response to virus', 'P:negative regulation of phagocytosis', 'P:negative regulation of viral genome replication', 'P:phosphatidylserine biosynthetic process', 'P:phosphatidylserine exposure on apoptotic cell surface', 'P:plasma membrane phospholipid scrambling', 'P:platelet activation', 'P:positive regulation of chromosome separation', 'P:positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity', 'P:positive regulation of gene expression', 'P:positive regulation of innate immune response', 'P:positive regulation of transcription by RNA polymerase II', 'P:regulation of Fc receptor mediated stimulatory signaling pathway', 'P:regulation of mast cell activation', 'P:response to interferon-beta', 'P:response to lead ion']"
33,O15213,WDR46,https://www.antibodypedia.com/gene/29045/WDR46,1,6,1,10,0,1,2.470050801289098,"['C:nucleolus', 'C:nucleoplasm', 'C:small-subunit processome', 'F:RNA binding', 'P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'P:ribosomal small subunit biogenesis']"
34,O15269,SPTLC1,https://www.antibodypedia.com/gene/2269/SPTLC1,17,186,2,2,0,1,1.7617679363553336,"['C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:serine C-palmitoyltransferase complex', 'C:SPOTS complex', 'F:pyridoxal phosphate binding', 'F:serine C-palmitoyltransferase activity', 'P:ceramide biosynthetic process', 'P:positive regulation of lipophagy', 'P:regulation of fat cell apoptotic process', 'P:sphinganine biosynthetic process', 'P:sphingolipid biosynthetic process', 'P:sphingolipid metabolic process', 'P:sphingomyelin biosynthetic process', 'P:sphingosine biosynthetic process']"
35,O15296,ALOX15B,https://www.antibodypedia.com/gene/12373/ALOX15B,7,149,1,2,0,2,2.2434228696441068,"['C:adherens junction', 'C:cytoskeleton', 'C:cytosol', 'C:extracellular exosome', 'C:focal adhesion', 'C:membrane', 'C:nucleus', 'C:plasma membrane', 'F:arachidonate 15-lipoxygenase activity', 'F:arachidonate 8(S)-lipoxygenase activity', 'F:calcium ion binding', 'F:iron ion binding', 'F:linoleate 13S-lipoxygenase activity', 'F:linoleate 9S-lipoxygenase activity', 'F:lipid binding', 'P:apoptotic process', 'P:arachidonic acid metabolic process', 'P:cannabinoid biosynthetic process', 'P:endocannabinoid signaling pathway', 'P:hepoxilin biosynthetic process', 'P:linoleic acid metabolic process', 'P:lipid metabolic process', 'P:lipid oxidation', 'P:lipoxin A4 biosynthetic process', 'P:lipoxygenase pathway', 'P:negative regulation of cell cycle', 'P:negative regulation of cell migration', 'P:negative regulation of cell population proliferation', 'P:negative regulation of growth', 'P:phospholipid metabolic process', 'P:positive regulation of chemokine production', 'P:positive regulation of keratinocyte differentiation', 'P:positive regulation of macrophage derived foam cell differentiation', 'P:positive regulation of peroxisome proliferator activated receptor signaling pathway', 'P:prostate gland development', 'P:regulation of epithelial cell differentiation']"
36,O15344,MID1,https://www.antibodypedia.com/gene/499/MID1,9,444,2,1,0,1,1.2631478467175268,"['C:centriolar satellite', 'C:cytoplasm', 'C:cytosol', 'C:Golgi apparatus', 'C:microtubule', 'C:microtubule associated complex', 'C:spindle', 'F:enzyme binding', 'F:identical protein binding', 'F:microtubule binding', 'F:phosphoprotein binding', 'F:protein homodimerization activity', 'F:transferase activity', 'F:ubiquitin protein ligase binding', 'F:zinc ion binding', 'P:microtubule cytoskeleton organization', 'P:negative regulation of microtubule depolymerization', 'P:pattern specification process', 'P:positive regulation of stress-activated MAPK cascade', 'P:protein localization to microtubule', 'P:regulation of microtubule cytoskeleton organization']"
37,O15357,INPPL1,https://www.antibodypedia.com/gene/30825/INPPL1,8,522,2,5,0,3,3.5355575201096627,"['C:basal plasma membrane', 'C:cytosol', 'C:filopodium', 'C:Golgi apparatus', 'C:lamellipodium', 'C:nuclear speck', 'C:nucleus', 'C:spindle pole', 'F:actin binding', 'F:inositol-polyphosphate 5-phosphatase activity', 'F:phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity', 'F:SH2 domain binding', 'F:SH3 domain binding', 'P:actin filament organization', 'P:apoptotic process', 'P:cell adhesion', 'P:endochondral ossification', 'P:endocytosis', 'P:ERK1 and ERK2 cascade', 'P:establishment of mitotic spindle orientation', 'P:gene expression', 'P:glucose metabolic process', 'P:immune system process', 'P:negative regulation of cell population proliferation', 'P:negative regulation of gene expression', 'P:negative regulation of insulin-like growth factor receptor signaling pathway', 'P:phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:phosphatidylinositol biosynthetic process', 'P:phosphatidylinositol dephosphorylation', 'P:post-embryonic development', 'P:regulation of actin filament organization', 'P:regulation of immune response', 'P:regulation of protein localization', 'P:response to insulin', 'P:ruffle assembly']"
38,O43264,ZW10,https://www.antibodypedia.com/gene/3162/ZW10,2,176,6,8,1,1,2.640616146892651,"['C:cytosol', 'C:Dsl1/NZR complex', 'C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:kinetochore', 'C:kinetochore microtubule', 'C:lipid droplet', 'C:membrane', 'C:nucleus', 'C:RZZ complex', 'C:spindle pole', 'F:centromeric DNA binding', 'P:cell division', 'P:endoplasmic reticulum to Golgi vesicle-mediated transport', 'P:establishment of mitotic spindle orientation', 'P:Golgi organization', 'P:meiotic cell cycle', 'P:mitotic metaphase chromosome alignment', 'P:mitotic sister chromatid segregation', 'P:mitotic spindle assembly checkpoint signaling', 'P:protein localization to kinetochore', 'P:protein transport', 'P:protein-containing complex assembly', 'P:regulation of attachment of spindle microtubules to kinetochore', 'P:regulation of exit from mitosis', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
39,O43283,MAP3K13,https://www.antibodypedia.com/gene/33834/MAP3K13,1,48,1,1,1,-3,-1.9211435673078214,"['C:cytoplasm', 'C:membrane', 'F:ATP binding', 'F:enzyme binding', 'F:identical protein binding', 'F:IkappaB kinase complex binding', 'F:JUN kinase kinase kinase activity', 'F:MAP kinase kinase kinase activity', 'F:metal ion binding', 'F:protein homodimerization activity', 'F:protein kinase binding', 'F:protein serine kinase activity', 'F:protein serine/threonine kinase activator activity', 'F:protein serine/threonine kinase activity', 'P:JNK cascade', 'P:peptidyl-serine phosphorylation', 'P:positive regulation of axon extension', 'P:positive regulation of branching morphogenesis of a nerve', 'P:positive regulation of JUN kinase activity', 'P:positive regulation of neuron maturation', 'P:positive regulation of neuron projection arborization', 'P:positive regulation of NF-kappaB transcription factor activity', 'P:protein autophosphorylation', 'P:protein phosphorylation', 'P:stress-activated MAPK cascade']"
40,O43491,EPB41L2,https://www.antibodypedia.com/gene/1358/EPB41L2,13,39,0,2,-1,-3,-2.1882856762471916,"['C:cell cortex', 'C:cell junction', 'C:cytoskeleton', 'C:cytosol', 'C:extracellular exosome', 'C:focal adhesion', 'C:nucleoplasm', 'C:plasma membrane', 'C:spectrin', 'F:actin binding', 'F:PH domain binding', 'F:spectrin binding', 'F:structural molecule activity', 'P:actomyosin structure organization', 'P:cell division', 'P:cortical actin cytoskeleton organization', 'P:positive regulation of protein localization to cell cortex']"
41,O43663,PRC1,https://www.antibodypedia.com/gene/28979/PRC1,4,1605,40,21,0,1,4.459962777754731,"['C:chromosome', 'C:contractile ring', 'C:cytoplasm', 'C:cytosol', 'C:intercellular bridge', 'C:microtubule cytoskeleton', 'C:midbody', 'C:mitotic spindle midzone', 'C:nucleoplasm', 'C:nucleus', 'C:plasma membrane', 'C:spindle', 'C:spindle microtubule', 'C:spindle pole', 'F:identical protein binding', 'F:kinesin binding', 'F:microtubule binding', 'F:protein kinase binding', 'P:cell division', 'P:microtubule cytoskeleton organization', 'P:mitotic spindle elongation', 'P:mitotic spindle midzone assembly', 'P:positive regulation of cell population proliferation', 'P:regulation of cytokinesis']"
42,O43707,ACTN4,https://www.antibodypedia.com/gene/974/ACTN4,25,462,12,22,4,-4,2.7275819994101576,"['C:actin cytoskeleton', 'C:cell junction', 'C:cell projection', 'C:cortical actin cytoskeleton', 'C:cytoplasm', 'C:extracellular exosome', 'C:extracellular region', 'C:extracellular space', 'C:focal adhesion', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'C:platelet alpha granule lumen', 'C:postsynaptic actin cytoskeleton', 'C:protein-containing complex', 'C:pseudopodium', 'C:ribonucleoprotein complex', 'C:stress fiber', 'C:Z disc', 'F:actin binding', 'F:actin filament binding', 'F:calcium ion binding', 'F:chromatin DNA binding', 'F:integrin binding', 'F:nuclear receptor binding', 'F:nuclear receptor coactivator activity', 'F:nuclear retinoic acid receptor binding', 'F:nucleoside binding', 'F:protein homodimerization activity', 'F:RNA binding', 'F:RNA polymerase II transcription regulatory region sequence-specific DNA binding', 'F:transcription coactivator activity', 'F:transmembrane transporter binding', 'P:actin cytoskeleton organization', 'P:muscle cell development', 'P:negative regulation of substrate adhesion-dependent cell spreading', 'P:peroxisome proliferator activated receptor signaling pathway', 'P:positive regulation of cell migration', 'P:positive regulation of non-canonical NF-kappaB signal transduction', 'P:positive regulation of sodium:proton antiporter activity', 'P:positive regulation of transcription by RNA polymerase II', 'P:protein transport', 'P:regulation of apoptotic process', 'P:retinoic acid receptor signaling pathway', 'P:tumor necrosis factor-mediated signaling pathway', 'P:vesicle transport along actin filament']"
43,O43790,KRT86,https://www.antibodypedia.com/gene/56637/KRT86,2,29,0,0,0,3,2.607070233754926,"['C:cytosol', 'C:extracellular space', 'C:keratin filament', 'F:structural constituent of skin epidermis', 'P:intermediate filament organization', 'P:keratinization']"
44,O43790,KRT86,https://www.antibodypedia.com/gene/56637/KRT86,2,29,0,0,0,3,2.607070233754926,"['C:cytosol', 'C:extracellular space', 'C:keratin filament', 'F:structural constituent of skin epidermis', 'P:intermediate filament organization', 'P:keratinization']"
45,O43795,MYO1B,https://www.antibodypedia.com/gene/2858/MYO1B,3,87,3,11,-1,1,2.2839554860094817,"['C:actin cytoskeleton', 'C:actin filament', 'C:apical part of cell', 'C:brush border', 'C:cell periphery', 'C:cytoplasm', 'C:early endosome', 'C:endosome membrane', 'C:extracellular exosome', 'C:filopodium', 'C:microvillus', 'C:myosin complex', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'F:actin filament binding', 'F:ATP binding', 'F:cadherin binding', 'F:calmodulin binding', 'F:microfilament motor activity', 'F:phosphatidylinositol-3,4,5-trisphosphate binding', 'F:phosphatidylinositol-4,5-bisphosphate binding', 'P:actin filament bundle assembly', 'P:actin filament organization', 'P:actin filament-based movement', 'P:endocytosis', 'P:post-Golgi vesicle-mediated transport']"
46,O43854,EDIL3,https://www.antibodypedia.com/gene/24753/EDIL3,7,191,3,1,0,1,1.2545881518788424,"['C:collagen-containing extracellular matrix', 'C:extracellular exosome', 'C:extracellular vesicle', 'F:calcium ion binding', 'F:integrin binding', 'P:cell adhesion', 'P:positive regulation of cell-substrate adhesion']"
47,O43897,TLL1,https://www.antibodypedia.com/gene/28327/TLL1,3,105,1,1,0,-4,-3.1311771910568407,"['C:extracellular region', 'C:extracellular space', 'F:calcium ion binding', 'F:metalloendopeptidase activity', 'F:serine-type endopeptidase activity', 'F:zinc ion binding', 'P:cell differentiation', 'P:collagen fibril organization', 'P:dorsal/ventral pattern formation', 'P:protein processing', 'P:skeletal system development']"
48,O43933,PEX1,https://www.antibodypedia.com/gene/15612/PEX1,7,268,2,3,0,1,1.5420253873655412,"['C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:peroxisomal membrane', 'C:peroxisome', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:protein transporter activity', 'F:protein-containing complex binding', 'F:ubiquitin-modified protein reader activity', 'P:microtubule-based peroxisome localization', 'P:peroxisome organization', 'P:protein import into peroxisome matrix', 'P:protein import into peroxisome matrix, receptor recycling', 'P:protein targeting to peroxisome', 'P:protein unfolding']"
49,O60313,OPA1,https://www.antibodypedia.com/gene/33885/OPA1,15,2162,13,1,0,3,2.957543781253668,"['C:axon cytoplasm', 'C:cytoplasm', 'C:cytosol', 'C:dendrite', 'C:membrane', 'C:microtubule', 'C:mitochondrial crista', 'C:mitochondrial inner membrane', 'C:mitochondrial intermembrane space', 'C:mitochondrial membrane', 'C:mitochondrial outer membrane', 'C:mitochondrion', 'C:nucleoplasm', 'F:cardiolipin binding', 'F:GTP binding', 'F:GTPase activity', 'F:GTPase-dependent fusogenic activity', 'F:magnesium ion binding', 'F:membrane bending activity', 'F:microtubule binding', 'F:phosphatidic acid binding', 'P:apoptotic process', 'P:axonal transport of mitochondrion', 'P:cellular senescence', 'P:cristae formation', 'P:GTP metabolic process', 'P:inner mitochondrial membrane organization', 'P:membrane tubulation', 'P:mitochondrial fission', 'P:mitochondrial fusion', 'P:mitochondrial genome maintenance', 'P:mitochondrial inner membrane fusion', 'P:mitochondrion organization', 'P:negative regulation of apoptotic process', 'P:negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway', 'P:negative regulation of release of cytochrome c from mitochondria', 'P:neural tube closure', 'P:positive regulation of interleukin-17 production', 'P:positive regulation of T-helper 17 cell lineage commitment', 'P:protein complex oligomerization', 'P:visual perception']"
