,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Number of Ref-ed Antibodies,Article Count,Interactions,GO Score,UV Score,Overall Score,GO Terms
43,O43790,KRT86,None,0,16,0,0,0,0,3,,"['C:cytosol', 'C:extracellular space', 'C:keratin filament', 'F:structural constituent of skin epidermis', 'P:intermediate filament organization', 'P:keratinization']"
44,O43790,KRT86,None,0,16,0,0,0,0,3,,"['C:cytosol', 'C:extracellular space', 'C:keratin filament', 'F:structural constituent of skin epidermis', 'P:intermediate filament organization', 'P:keratinization']"
45,O43795,MYO1B,None,0,31,0,3,11,-1,3,,"['C:actin cytoskeleton', 'C:actin filament', 'C:apical part of cell', 'C:brush border', 'C:cell periphery', 'C:cytoplasm', 'C:early endosome', 'C:endosome membrane', 'C:extracellular exosome', 'C:filopodium', 'C:microvillus', 'C:myosin complex', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'F:actin filament binding', 'F:ATP binding', 'F:cadherin binding', 'F:calmodulin binding', 'F:microfilament motor activity', 'F:phosphatidylinositol-3,4,5-trisphosphate binding', 'F:phosphatidylinositol-4,5-bisphosphate binding', 'P:actin filament bundle assembly', 'P:actin filament organization', 'P:actin filament-based movement', 'P:endocytosis', 'P:post-Golgi vesicle-mediated transport']"
46,O43854,EDIL3,None,0,29,0,3,1,0,3,,"['C:collagen-containing extracellular matrix', 'C:extracellular exosome', 'C:extracellular vesicle', 'F:calcium ion binding', 'F:integrin binding', 'P:cell adhesion', 'P:positive regulation of cell-substrate adhesion']"
47,O43897,TLL1,None,0,19,0,1,1,0,-4,,"['C:extracellular region', 'C:extracellular space', 'F:calcium ion binding', 'F:metalloendopeptidase activity', 'F:serine-type endopeptidase activity', 'F:zinc ion binding', 'P:cell differentiation', 'P:collagen fibril organization', 'P:dorsal/ventral pattern formation', 'P:protein processing', 'P:skeletal system development']"
48,O43933,PEX1,None,0,31,0,2,3,0,3,,"['C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:peroxisomal membrane', 'C:peroxisome', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:protein transporter activity', 'F:protein-containing complex binding', 'F:ubiquitin-modified protein reader activity', 'P:microtubule-based peroxisome localization', 'P:peroxisome organization', 'P:protein import into peroxisome matrix', 'P:protein import into peroxisome matrix, receptor recycling', 'P:protein targeting to peroxisome', 'P:protein unfolding']"
49,O60313,OPA1,None,0,32,0,13,1,0,3,,"['C:axon cytoplasm', 'C:cytoplasm', 'C:cytosol', 'C:dendrite', 'C:membrane', 'C:microtubule', 'C:mitochondrial crista', 'C:mitochondrial inner membrane', 'C:mitochondrial intermembrane space', 'C:mitochondrial membrane', 'C:mitochondrial outer membrane', 'C:mitochondrion', 'C:nucleoplasm', 'F:cardiolipin binding', 'F:GTP binding', 'F:GTPase activity', 'F:GTPase-dependent fusogenic activity', 'F:magnesium ion binding', 'F:membrane bending activity', 'F:microtubule binding', 'F:phosphatidic acid binding', 'P:apoptotic process', 'P:axonal transport of mitochondrion', 'P:cellular senescence', 'P:cristae formation', 'P:GTP metabolic process', 'P:inner mitochondrial membrane organization', 'P:membrane tubulation', 'P:mitochondrial fission', 'P:mitochondrial fusion', 'P:mitochondrial genome maintenance', 'P:mitochondrial inner membrane fusion', 'P:mitochondrion organization', 'P:negative regulation of apoptotic process', 'P:negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway', 'P:negative regulation of release of cytochrome c from mitochondria', 'P:neural tube closure', 'P:positive regulation of interleukin-17 production', 'P:positive regulation of T-helper 17 cell lineage commitment', 'P:protein complex oligomerization', 'P:visual perception']"
50,O60669,SLC16A7,None,0,35,0,1,1,0,3,,"['C:basolateral plasma membrane', 'C:cytosol', 'C:glutamatergic synapse', 'C:hippocampal mossy fiber to CA3 synapse', 'C:nucleoplasm', 'C:parallel fiber to Purkinje cell synapse', 'C:plasma membrane', 'C:postsynaptic density membrane', 'C:Schaffer collateral - CA1 synapse', 'F:identical protein binding', 'F:lactate transmembrane transporter activity', 'F:pyruvate secondary active transmembrane transporter activity', 'F:pyruvate transmembrane transporter activity', 'F:symporter activity', 'P:lactate transmembrane transport', 'P:plasma membrane lactate transport', 'P:pyruvate transmembrane transport', 'P:transport across blood-brain barrier']"
51,O60814,H2BC12,None,0,17,0,1,19,1,3,,"['C:cytosol', 'C:extracellular space', 'C:nucleoplasm', 'C:nucleosome', 'C:nucleus', 'F:DNA binding', 'F:protein heterodimerization activity', 'F:structural constituent of chromatin', 'P:antibacterial humoral response', 'P:antimicrobial humoral immune response mediated by antimicrobial peptide', 'P:defense response to Gram-negative bacterium', 'P:defense response to Gram-positive bacterium', 'P:innate immune response in mucosa', 'P:killing of cells of another organism']"
52,O60828,PQBP1,None,0,25,0,2,1,2,5,,"['C:cytoplasm', 'C:cytoplasmic stress granule', 'C:neuronal ribonucleoprotein granule', 'C:nuclear body', 'C:nuclear speck', 'C:nucleoplasm', 'C:nucleus', 'F:DNA binding', 'F:double-stranded DNA binding', 'F:ribonucleoprotein complex binding', 'F:transcription coactivator activity', 'P:activation of innate immune response', 'P:alternative mRNA splicing, via spliceosome', 'P:cellular response to exogenous dsRNA', 'P:defense response to virus', 'P:innate immune response', 'P:neuron projection development', 'P:positive regulation of defense response to virus by host', 'P:positive regulation of type I interferon production', 'P:regulation of dendrite morphogenesis', 'P:regulation of DNA-templated transcription', 'P:regulation of RNA splicing']"
53,O75044,SRGAP2,None,0,26,0,1,6,0,3,,"['C:cytoplasm', 'C:cytosol', 'C:dendritic spine head', 'C:lamellipodium', 'C:nucleus', 'C:phagocytic vesicle', 'C:plasma membrane', 'C:postsynaptic density', 'C:postsynaptic membrane', 'F:GTPase activator activity', 'F:identical protein binding', 'F:protein homodimerization activity', 'F:small GTPase binding', 'P:actin filament severing', 'P:dendritic spine development', 'P:excitatory synapse assembly', 'P:extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration', 'P:filopodium assembly', 'P:inhibitory synapse assembly', 'P:lamellipodium assembly involved in ameboidal cell migration', 'P:negative regulation of cell migration', 'P:negative regulation of neuron migration', 'P:neuron projection morphogenesis', 'P:positive regulation of GTPase activity', 'P:regulation of small GTPase mediated signal transduction', 'P:signal transduction', 'P:substrate adhesion-dependent cell spreading']"
54,O75150,RNF40,None,0,31,0,14,3,1,3,,"['C:HULC complex', 'C:membrane', 'C:neuron projection', 'C:nucleoplasm', 'C:nucleus', 'C:ubiquitin ligase complex', 'F:metal ion binding', ""F:mRNA 3'-UTR binding"", 'F:protein homodimerization activity', 'F:ubiquitin protein ligase activity', 'F:ubiquitin protein ligase binding', 'P:chromatin organization', 'P:positive regulation of transcription by RNA polymerase II', 'P:protein ubiquitination', 'P:ubiquitin-dependent protein catabolic process']"
