,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Article Count,Interactions,GO Score,Overall Score,GO Terms
13,A8K0Z3,WASHC1,https://www.antibodypedia.com/gene/75837/WASHC1,9,8.0,10,4,0,0.6367659805337137,"['GO:0005776', 'GO:0005814', 'GO:0005829', 'GO:0005769', 'GO:0031901', 'GO:0005770', 'GO:0055037', 'GO:0055038', 'GO:0071203', 'GO:0003779', 'GO:0043014', 'GO:0043015', 'GO:0141039', 'GO:0031625', 'GO:0034314', 'GO:0032456', 'GO:0016197', 'GO:0006887', 'GO:0022617', 'GO:0010507', 'GO:0030335', 'GO:0031274', 'GO:0015031', 'GO:0034315', 'GO:0031396', 'GO:0042147']"
14,A8MTJ6,FOXI3,https://www.antibodypedia.com/gene/73246/FOXI3,125,23.0,43,0,3,1.5098958413792734,"['GO:0005634', 'GO:0000981', 'GO:0000978', 'GO:0009653', 'GO:0030154', 'GO:0009957', 'GO:0001942', 'GO:0042475', 'GO:1905040', 'GO:0060017', 'GO:0060037', 'GO:0006357', 'GO:0048538']"
15,A8MUU1,,,0,0.0,0,0,0,0.0,"['GO:0005829', 'GO:0005634', 'GO:0005504', 'GO:0015908']"
16,A8MWX3,,,0,0.0,0,1,0,0.15761280516580786,"['GO:0005829', 'GO:0005769', 'GO:0031901', 'GO:0055037', 'GO:0055038', 'GO:0071203', 'GO:0003779', 'GO:0043014', 'GO:0043015', 'GO:0034314', 'GO:0032456', 'GO:0016197', 'GO:0006887', 'GO:0034315', 'GO:0042147']"
17,A8MXQ7,,https://www.antibodypedia.com/gene/81522/IQANK1,0,0.0,0,0,0,0.0,[]
18,A8MZA4,GOLGA6L6,https://www.antibodypedia.com/gene/78143/GOLGA6L6,3,3.0,1,1,0,0.16161702363366923,[]
19,B2RPK0,,,0,0.0,0,0,2,0.8960924791021734,"['GO:0005694', 'GO:0005634', 'GO:0008301', 'GO:0006357']"
20,B2RXH8,HNRNPCL2,https://www.antibodypedia.com/gene/82492/HNRNPCL2,0,0.0,3,2,0,0.3127836551031435,"['GO:0005634', 'GO:1990904', 'GO:0042802', 'GO:0003723']"
21,B7ZW38,HNRNPCL4,https://www.antibodypedia.com/gene/82489/HNRNPCL3,0,0.0,1,1,0,0.15679882008965046,"['GO:0005634', 'GO:0003723']"
22,O00116,AGPS,https://www.antibodypedia.com/gene/33922/AGPS,184,29.0,927,3,0,0.013790733932654897,"['GO:0005829', 'GO:0016020', 'GO:0005739', 'GO:0005782', 'GO:0005778', 'GO:0005777', 'GO:0008609', 'GO:0071949', 'GO:0008611', 'GO:0008610']"
23,O00186,STXBP3,https://www.antibodypedia.com/gene/20045/STXBP3,222,30.0,46,7,0,1.422393384914803,"['GO:0016324', 'GO:0016323', 'GO:0005829', 'GO:0070062', 'GO:0045335', 'GO:0005886', 'GO:0031091', 'GO:0098793', 'GO:0030141', 'GO:0042581', 'GO:0070820', 'GO:0044877', 'GO:0019905', 'GO:0017075', 'GO:0007420', 'GO:0071346', 'GO:0030073', 'GO:0001678', 'GO:0006886', 'GO:0045955', 'GO:0046325', 'GO:0007269', 'GO:0043312', 'GO:0070527', 'GO:0022615', 'GO:0032868', 'GO:0006904', 'GO:0016192']"
24,O00330,PDHX,https://www.antibodypedia.com/gene/25893/PDHX,298,34.0,159,0,0,0.3491845915968359,"['GO:0005759', 'GO:0005739', 'GO:0045254', 'GO:0016746', 'GO:0006086']"
25,O14522,PTPRT,https://www.antibodypedia.com/gene/2780/PTPRT,110,32.0,123,5,0,0.8646113247423658,"['GO:0009986', 'GO:0098978', 'GO:0016020', 'GO:0005886', 'GO:0098839', 'GO:0051393', 'GO:0045294', 'GO:0008013', 'GO:0045296', 'GO:0070097', 'GO:0045295', 'GO:0042803', 'GO:0019903', 'GO:0004725', 'GO:0097677', 'GO:0016790', 'GO:0005001', 'GO:0007155', 'GO:0007169', 'GO:0071354', 'GO:0007156', 'GO:0030336', 'GO:1904893', 'GO:0035335', 'GO:1990264', 'GO:0006470', 'GO:0050807', 'GO:0007165']"
26,O14647,CHD2,https://www.antibodypedia.com/gene/29044/CHD2,201,34.0,236,2,3,1.7900834884609842,"['GO:0000785', 'GO:0005634', 'GO:0005524', 'GO:0016887', 'GO:0140658', 'GO:0003682', 'GO:0003677', 'GO:0004386', 'GO:0042393', 'GO:0003723', 'GO:0000978', 'GO:0006974', 'GO:0010467', 'GO:0060218', 'GO:0007517', 'GO:0034728']"
27,O14772,FPGT,https://www.antibodypedia.com/gene/53161/FPGT,158,20.0,13,0,0,0.24317691399494204,"['GO:0005737', 'GO:0005829', 'GO:0003824', 'GO:0047341', 'GO:0005525', 'GO:0006004']"
28,O14787,TNPO2,https://www.antibodypedia.com/gene/26113/TNPO2,90,19.0,24,5,0,0.9130744903218244,"['GO:0005737', 'GO:0005634', 'GO:0061608', 'GO:0008139', 'GO:0031267', 'GO:0006606']"
29,O14893,GEMIN2,https://www.antibodypedia.com/gene/4218/GEMIN2,342,39.0,182,8,-3,0.31789364283069355,"['GO:0005829', 'GO:0097504', 'GO:0016604', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0032797', 'GO:0034719', 'GO:0005681', 'GO:0006397', 'GO:1905215', 'GO:0008380', 'GO:0000375', 'GO:0000245', 'GO:0000387']"
30,O15061,SYNM,https://www.antibodypedia.com/gene/29140/SYNM,171,19.0,33,3,0,0.7206145099932988,"['GO:0005912', 'GO:0043034', 'GO:0005882', 'GO:0045111', 'GO:0060053', 'GO:0042383', 'GO:0019215', 'GO:0005200', 'GO:0008307', 'GO:0017166', 'GO:0031443', 'GO:0045104']"
31,O15143,ARPC1B,https://www.antibodypedia.com/gene/1378/ARPC1B,214,31.0,87,8,0,1.5337842591741069,"['GO:0015629', 'GO:0005885', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0005634', 'GO:0036284', 'GO:0003779', 'GO:0044877', 'GO:0005200', 'GO:0034314', 'GO:0032355', 'GO:0043627']"
32,O15162,PLSCR1,https://www.antibodypedia.com/gene/18144/PLSCR1,263,33.0,194,4,3,2.239072678567599,"['GO:0062023', 'GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005794', 'GO:0016020', 'GO:0045121', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0005509', 'GO:0042609', 'GO:0003677', 'GO:0001228', 'GO:0019899', 'GO:0005154', 'GO:0032791', 'GO:0000287', 'GO:0045340', 'GO:0004518', 'GO:0017128', 'GO:0017124', 'GO:0001618', 'GO:0008270', 'GO:0006953', 'GO:0006915', 'GO:0051607', 'GO:0050765', 'GO:0045071', 'GO:0006659', 'GO:0070782', 'GO:0017121', 'GO:0030168', 'GO:1905820', 'GO:2000373', 'GO:0010628', 'GO:0045089', 'GO:0045944', 'GO:0060368', 'GO:0033003', 'GO:0035456', 'GO:0010288']"
33,O15213,WDR46,https://www.antibodypedia.com/gene/29045/WDR46,58,19.0,6,10,0,1.6643960763854968,"['GO:0005730', 'GO:0005654', 'GO:0032040', 'GO:0003723', 'GO:0000462', 'GO:0042274']"
34,O15269,SPTLC1,https://www.antibodypedia.com/gene/2269/SPTLC1,390,36.0,185,2,0,0.7910048319649345,"['GO:0005783', 'GO:0005789', 'GO:0017059', 'GO:0035339', 'GO:0030170', 'GO:0004758', 'GO:0046513', 'GO:1904504', 'GO:1904649', 'GO:0046511', 'GO:0030148', 'GO:0006665', 'GO:0006686', 'GO:0046512']"
35,O15296,ALOX15B,https://www.antibodypedia.com/gene/12373/ALOX15B,277,30.0,149,2,0,0.6388226278818944,"['GO:0005912', 'GO:0005856', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0016020', 'GO:0005634', 'GO:0005886', 'GO:0050473', 'GO:0036403', 'GO:0005509', 'GO:0005506', 'GO:0016165', 'GO:1990136', 'GO:0008289', 'GO:0006915', 'GO:0019369', 'GO:1901696', 'GO:0071926', 'GO:0051122', 'GO:0043651', 'GO:0006629', 'GO:0034440', 'GO:2001303', 'GO:0019372', 'GO:0045786', 'GO:0030336', 'GO:0008285', 'GO:0045926', 'GO:0006644', 'GO:0032722', 'GO:0045618', 'GO:0010744', 'GO:0035360', 'GO:0030850', 'GO:0030856']"
36,O15344,MID1,https://www.antibodypedia.com/gene/499/MID1,237,26.0,444,1,0,0.17684151132940015,"['GO:0034451', 'GO:0005737', 'GO:0005829', 'GO:0005794', 'GO:0005874', 'GO:0005875', 'GO:0005819', 'GO:0019899', 'GO:0042802', 'GO:0008017', 'GO:0051219', 'GO:0042803', 'GO:0016740', 'GO:0031625', 'GO:0008270', 'GO:0000226', 'GO:0007026', 'GO:0007389', 'GO:0032874', 'GO:0035372', 'GO:0070507']"
37,O15357,INPPL1,https://www.antibodypedia.com/gene/30825/INPPL1,337,32.0,522,5,0,0.904408680852979,"['GO:0009925', 'GO:0005829', 'GO:0030175', 'GO:0005794', 'GO:0030027', 'GO:0016607', 'GO:0005634', 'GO:0000922', 'GO:0003779', 'GO:0004445', 'GO:0034485', 'GO:0042169', 'GO:0017124', 'GO:0007015', 'GO:0006915', 'GO:0007155', 'GO:0001958', 'GO:0006897', 'GO:0070371', 'GO:0000132', 'GO:0010467', 'GO:0006006', 'GO:0002376', 'GO:0008285', 'GO:0010629', 'GO:0043569', 'GO:0043491', 'GO:0006661', 'GO:0046856', 'GO:0009791', 'GO:0110053', 'GO:0050776', 'GO:0032880', 'GO:0032868', 'GO:0097178']"
38,O43264,ZW10,https://www.antibodypedia.com/gene/3162/ZW10,169,26.0,176,8,1,1.8371127737869024,"['GO:0005829', 'GO:0070939', 'GO:0005783', 'GO:0005789', 'GO:0000776', 'GO:0005828', 'GO:0005811', 'GO:0016020', 'GO:0005634', 'GO:1990423', 'GO:0000922', 'GO:0019237', 'GO:0051301', 'GO:0006888', 'GO:0000132', 'GO:0007030', 'GO:0051321', 'GO:0007080', 'GO:0000070', 'GO:0007094', 'GO:0034501', 'GO:0015031', 'GO:0065003', 'GO:0051988', 'GO:0007096', 'GO:0006890']"
39,O43283,MAP3K13,https://www.antibodypedia.com/gene/33834/MAP3K13,295,27.0,48,1,1,1.0403777762231843,"['GO:0005737', 'GO:0016020', 'GO:0005524', 'GO:0019899', 'GO:0042802', 'GO:0106137', 'GO:0004706', 'GO:0004709', 'GO:0046872', 'GO:0042803', 'GO:0019901', 'GO:0106310', 'GO:0043539', 'GO:0004674', 'GO:0007254', 'GO:0018105', 'GO:0045773', 'GO:1905492', 'GO:0043507', 'GO:0014042', 'GO:0150012', 'GO:0051092', 'GO:0046777', 'GO:0006468', 'GO:0051403']"
40,O43491,EPB41L2,https://www.antibodypedia.com/gene/1358/EPB41L2,242,34.0,39,2,-1,0.22410237202790384,"['GO:0005938', 'GO:0030054', 'GO:0005856', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0005654', 'GO:0005886', 'GO:0008091', 'GO:0003779', 'GO:0042731', 'GO:0030507', 'GO:0005198', 'GO:0031032', 'GO:0051301', 'GO:0030866', 'GO:1904778']"
41,O43663,PRC1,https://www.antibodypedia.com/gene/28979/PRC1,264,35.0,1605,21,0,2.4274247731229726,"['GO:0005694', 'GO:0070938', 'GO:0005737', 'GO:0005829', 'GO:0045171', 'GO:0015630', 'GO:0030496', 'GO:1990023', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0005819', 'GO:0005876', 'GO:0000922', 'GO:0042802', 'GO:0019894', 'GO:0008017', 'GO:0019901', 'GO:0051301', 'GO:0000226', 'GO:0000022', 'GO:0051256', 'GO:0008284', 'GO:0032465']"
42,O43707,ACTN4,https://www.antibodypedia.com/gene/974/ACTN4,478,43.0,462,22,4,5.6513059980143865,"['GO:0015629', 'GO:0030054', 'GO:0042995', 'GO:0030864', 'GO:0005737', 'GO:0070062', 'GO:0005576', 'GO:0005615', 'GO:0005925', 'GO:0005634', 'GO:0048471', 'GO:0005886', 'GO:0031093', 'GO:0098871', 'GO:0032991', 'GO:0031143', 'GO:1990904', 'GO:0001725', 'GO:0030018', 'GO:0003779', 'GO:0051015', 'GO:0005509', 'GO:0031490', 'GO:0005178', 'GO:0016922', 'GO:0030374', 'GO:0042974', 'GO:0001882', 'GO:0042803', 'GO:0003723', 'GO:0000977', 'GO:0003713', 'GO:0044325', 'GO:0030036', 'GO:0055001', 'GO:1900025', 'GO:0035357', 'GO:0030335', 'GO:1901224', 'GO:0032417', 'GO:0045944', 'GO:0015031', 'GO:0042981', 'GO:0048384', 'GO:0033209', 'GO:0030050']"
43,O43790,KRT86,https://www.antibodypedia.com/gene/56637/KRT86,60,16.0,29,0,0,0.07275850367181043,"['GO:0005829', 'GO:0005615', 'GO:0045095', 'GO:0030280', 'GO:0045109', 'GO:0031424']"
44,O43790,KRT86,https://www.antibodypedia.com/gene/56637/KRT86,60,16.0,29,0,0,0.07275850367181043,"['GO:0005829', 'GO:0005615', 'GO:0045095', 'GO:0030280', 'GO:0045109', 'GO:0031424']"
45,O43795,MYO1B,https://www.antibodypedia.com/gene/2858/MYO1B,122,31.0,86,11,-1,1.4116321781800254,"['GO:0015629', 'GO:0005884', 'GO:0045177', 'GO:0005903', 'GO:0071944', 'GO:0005737', 'GO:0005769', 'GO:0010008', 'GO:0070062', 'GO:0030175', 'GO:0005902', 'GO:0016459', 'GO:0048471', 'GO:0005886', 'GO:0051015', 'GO:0005524', 'GO:0045296', 'GO:0005516', 'GO:0000146', 'GO:0005547', 'GO:0005546', 'GO:0051017', 'GO:0007015', 'GO:0030048', 'GO:0006897', 'GO:0006892']"
46,O43854,EDIL3,https://www.antibodypedia.com/gene/24753/EDIL3,286,29.0,191,1,0,0.4614770601495315,"['GO:0062023', 'GO:0070062', 'GO:1903561', 'GO:0005509', 'GO:0005178', 'GO:0007155', 'GO:0010811']"
47,O43897,TLL1,https://www.antibodypedia.com/gene/28327/TLL1,116,19.0,105,1,0,0.25844824253800536,"['GO:0005576', 'GO:0005615', 'GO:0005509', 'GO:0004222', 'GO:0004252', 'GO:0008270', 'GO:0030154', 'GO:0030199', 'GO:0009953', 'GO:0016485', 'GO:0001501']"
48,O43933,PEX1,https://www.antibodypedia.com/gene/15612/PEX1,190,31.0,268,3,0,0.559843306208426,"['GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005778', 'GO:0005777', 'GO:0005524', 'GO:0016887', 'GO:0140318', 'GO:0044877', 'GO:0140036', 'GO:0060152', 'GO:0007031', 'GO:0016558', 'GO:0016562', 'GO:0006625', 'GO:0043335']"
49,O60313,OPA1,https://www.antibodypedia.com/gene/33885/OPA1,315,32.0,2158,1,0,-1.0930556170599137,"['GO:1904115', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0016020', 'GO:0005874', 'GO:0030061', 'GO:0005743', 'GO:0005758', 'GO:0031966', 'GO:0005741', 'GO:0005739', 'GO:0005654', 'GO:1901612', 'GO:0005525', 'GO:0003924', 'GO:0140523', 'GO:0000287', 'GO:0180020', 'GO:0008017', 'GO:0070300', 'GO:0006915', 'GO:0019896', 'GO:0090398', 'GO:0042407', 'GO:0046039', 'GO:0007007', 'GO:0097749', 'GO:0000266', 'GO:0008053', 'GO:0000002', 'GO:1990627', 'GO:0007005', 'GO:0043066', 'GO:1902236', 'GO:0090201', 'GO:0001843', 'GO:0032740', 'GO:2000330', 'GO:0051259', 'GO:0007601']"
50,O60669,SLC16A7,https://www.antibodypedia.com/gene/1576/SLC16A7,240,35.0,204,1,0,0.3770161331511974,"['GO:0016323', 'GO:0005829', 'GO:0098978', 'GO:0098686', 'GO:0005654', 'GO:0098688', 'GO:0005886', 'GO:0098839', 'GO:0098685', 'GO:0042802', 'GO:0015129', 'GO:0005477', 'GO:0050833', 'GO:0015293', 'GO:0035873', 'GO:0035879', 'GO:1901475', 'GO:0150104']"
51,O60814,H2BC12,https://www.antibodypedia.com/gene/25744/H2BC12,65,17.0,3,19,1,3.54464199259337,"['GO:0005829', 'GO:0005615', 'GO:0005654', 'GO:0000786', 'GO:0005634', 'GO:0003677', 'GO:0046982', 'GO:0030527', 'GO:0019731', 'GO:0061844', 'GO:0050829', 'GO:0050830', 'GO:0002227', 'GO:0031640']"
52,O60828,PQBP1,https://www.antibodypedia.com/gene/454/PQBP1,162,25.0,131,1,2,1.2072562306683738,"['GO:0005737', 'GO:0010494', 'GO:0071598', 'GO:0016604', 'GO:0016607', 'GO:0005654', 'GO:0005634', 'GO:0003677', 'GO:0003690', 'GO:0043021', 'GO:0003713', 'GO:0002218', 'GO:0000380', 'GO:0071360', 'GO:0051607', 'GO:0045087', 'GO:0031175', 'GO:0002230', 'GO:0032481', 'GO:0048814', 'GO:0006355', 'GO:0043484']"
53,O75044,SRGAP2,https://www.antibodypedia.com/gene/74470/SRGAP2,90,26.0,83,6,0,1.022662175994345,"['GO:0005737', 'GO:0005829', 'GO:0044327', 'GO:0030027', 'GO:0005634', 'GO:0045335', 'GO:0005886', 'GO:0014069', 'GO:0045211', 'GO:0005096', 'GO:0042802', 'GO:0042803', 'GO:0031267', 'GO:0051014', 'GO:0060996', 'GO:1904861', 'GO:0021816', 'GO:0046847', 'GO:1904862', 'GO:0003363', 'GO:0030336', 'GO:2001223', 'GO:0048812', 'GO:0043547', 'GO:0051056', 'GO:0007165', 'GO:0034446']"
54,O75150,RNF40,https://www.antibodypedia.com/gene/13809/RNF40,267,31.0,93,3,1,1.2740041583835413,"['GO:0033503', 'GO:0016020', 'GO:0043005', 'GO:0005654', 'GO:0005634', 'GO:0000151', 'GO:0046872', 'GO:0003730', 'GO:0042803', 'GO:0061630', 'GO:0031625', 'GO:0006325', 'GO:0045944', 'GO:0016567', 'GO:0006511']"
55,O75381,PEX14,https://www.antibodypedia.com/gene/27930/PEX14,308,32.0,260,4,3,2.2576227167014915,"['GO:0005829', 'GO:0001650', 'GO:0016020', 'GO:0005634', 'GO:1990429', 'GO:0005778', 'GO:0005777', 'GO:0032991', 'GO:0048487', 'GO:0042802', 'GO:0008017', 'GO:0008320', 'GO:0030674', 'GO:0005102', 'GO:0003714', 'GO:0034614', 'GO:0034453', 'GO:0043433', 'GO:0045892', 'GO:0032091', 'GO:0007031', 'GO:0036250', 'GO:0016558', 'GO:0016560', 'GO:0044721', 'GO:0016561', 'GO:0065003']"
56,O75414,NME6,https://www.antibodypedia.com/gene/13081/NME6,186,22.0,23,3,0,0.7528453784749667,"['GO:0005743', 'GO:0005759', 'GO:0005739', 'GO:0005524', 'GO:0046872', 'GO:0004550', 'GO:0006915', 'GO:0006241', 'GO:0006183', 'GO:0030308', 'GO:0045839', 'GO:0006228']"
57,O75494,SRSF10,https://www.antibodypedia.com/gene/60384/SRSF10,271,25.0,84,2,-3,-0.6620434679091716,"['GO:0043679', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0043025', 'GO:0016607', 'GO:0005654', 'GO:0005634', 'GO:0003723', 'GO:0050733', 'GO:0051082', 'GO:0016482', 'GO:0006376', 'GO:0000398', 'GO:0048025', 'GO:0006355', 'GO:0048024', 'GO:0000375', 'GO:0000244']"
58,O75592,MYCBP2,https://www.antibodypedia.com/gene/24520/MYCBP2,49,11.0,90,5,0,0.7935026935271788,"['GO:0030424', 'GO:0005737', 'GO:0005829', 'GO:0043231', 'GO:0016020', 'GO:0015630', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0005085', 'GO:0042802', 'GO:0031267', 'GO:0061630', 'GO:0008270', 'GO:0007411', 'GO:0021785', 'GO:0021952', 'GO:0032922', 'GO:0042177', 'GO:0050905', 'GO:0031398', 'GO:0070936', 'GO:0016567', 'GO:1902667', 'GO:0051493', 'GO:0032880', 'GO:0008582']"
59,O75688,PPM1B,https://www.antibodypedia.com/gene/14962/PPM1B,396,28.0,121,4,-1,0.7199156547075751,"['GO:0005829', 'GO:0016020', 'GO:0005730', 'GO:0005634', 'GO:0000287', 'GO:0030145', 'GO:0017018', 'GO:0004722', 'GO:0006499', 'GO:0043124', 'GO:0050687', 'GO:0032688', 'GO:1901223', 'GO:0035970', 'GO:0090263', 'GO:0006470']"
60,O75828,CBR3,https://www.antibodypedia.com/gene/8258/CBR3,315,34.0,160,2,0,0.6908993702684005,"['GO:0005829', 'GO:0005615', 'GO:0005654', 'GO:0000253', 'GO:0004090', 'GO:0070402', 'GO:0008753', 'GO:0050890', 'GO:0042376', 'GO:0006805']"
61,O75881,CYP7B1,https://www.antibodypedia.com/gene/3058/CYP7B1,296,34.0,366,2,0,0.49270315546785515,"['GO:0005789', 'GO:0033782', 'GO:0033783', 'GO:0047092', 'GO:0020037', 'GO:0005506', 'GO:0008396', 'GO:0035754', 'GO:0006699', 'GO:0042632', 'GO:0008203', 'GO:0050673', 'GO:0030520', 'GO:0033147', 'GO:0050679', 'GO:0060740', 'GO:0016125']"
62,O94776,MTA2,https://www.antibodypedia.com/gene/1799/MTA2,418,39.0,189,6,9,5.495586168027491,"['GO:0000785', 'GO:0000781', 'GO:0000118', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0016581', 'GO:0032991', 'GO:0005667', 'GO:0003682', 'GO:0004407', 'GO:0042826', 'GO:0046872', 'GO:0061629', 'GO:0043565', 'GO:0003713', 'GO:0003714', 'GO:0006325', 'GO:0006338', 'GO:0045892', 'GO:0000122', 'GO:0045893', 'GO:0045944', 'GO:0042659', 'GO:0010762', 'GO:2000736']"
63,O94850,DDN,https://www.antibodypedia.com/gene/74886/DDN,12,5.0,304,1,3,1.2735728748432902,"['GO:0042995', 'GO:0005737', 'GO:0032591', 'GO:0005789', 'GO:0005634', 'GO:0043204', 'GO:0045211', 'GO:0000981', 'GO:0000978', 'GO:0045944']"
64,O94854,MACF1,,0,0.0,195,11,0,1.5750137669731912,"['GO:0005737', 'GO:0005856', 'GO:0005509', 'GO:0008017', 'GO:0045104']"
65,O94886,TMEM63A,https://www.antibodypedia.com/gene/34647/TMEM63A,70,15.0,30,0,0,0.08800519707571558,"['GO:0034451', 'GO:0031901', 'GO:0070062', 'GO:0043231', 'GO:0005765', 'GO:0005886', 'GO:0035579', 'GO:0070821', 'GO:0005227', 'GO:0008381', 'GO:0003676', 'GO:1990760', 'GO:0160069']"
66,O94892,ZNF432,https://www.antibodypedia.com/gene/56944/ZNF432,82,13.0,3,0,5,2.369486806063474,"['GO:0005654', 'GO:0005634', 'GO:0003684', 'GO:0000981', 'GO:0046872', 'GO:0030674', 'GO:0000978', 'GO:0006974', 'GO:0006357']"
67,O95045,UPP2,https://www.antibodypedia.com/gene/33709/UPP2,137,22.0,24,2,0,0.5157212636806949,"['GO:0005829', 'GO:0045098', 'GO:0047847', 'GO:0042802', 'GO:0004850', 'GO:0006249', 'GO:0009116', 'GO:0044206', 'GO:0006218', 'GO:0046108']"
68,O95155,UBE4B,https://www.antibodypedia.com/gene/13520/UBE4B,188,30.0,108,10,0,1.7901584188582542,"['GO:0005737', 'GO:0005634', 'GO:0000151', 'GO:0019899', 'GO:0034450', 'GO:0036503', 'GO:0008626', 'GO:0043161', 'GO:0000209', 'GO:0009411', 'GO:0006511']"
69,O95208,EPN2,https://www.antibodypedia.com/gene/25881/EPN2,345,26.0,39,7,0,1.6256376257526743,"['GO:0030125', 'GO:0005829', 'GO:0005768', 'GO:0043231', 'GO:0005886', 'GO:0045296', 'GO:0030276', 'GO:0005543', 'GO:0006897', 'GO:1903671', 'GO:0030948', 'GO:0045747']"
